it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	
100000	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.099723664121323066	0.0	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.017242272767646925	0.0	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.082481391353676145	0.0
101000	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.096448137814752977	0.0	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.019464585353861582	0.0	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.076983552460891391	0.0
102000	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.083215216696991584	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.017127051324297503	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074	0.066088165372694074
103000	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0966221340390538	0.0	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.016293823236423186	0.0	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.080328310802630615	0.0
104000	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.10504665262439256	0.0	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.016397264967547301	0.0	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.088649387656845255	0.0
105000	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.099255266565659889	0.0	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.018886554461058736	0.0	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.080368712104601156	0.0
106000	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.10616993458539409	0.0	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.022645637258248773	0.0	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.083524297327145308	0.0
107000	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.1020206305257125	0.0	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.019159519200167684	0.0	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.082861111325544815	0.0
108000	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.088553278433036231	0.0	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.020561593431872111	0.0	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.067991685001164121	0.0
109000	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.10289332128228984	0.0	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.017880527302710874	0.0	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.085012793979578963	0.0
