it	posterior	prior	likelihood	d12_t0	d21_t0	e1_t0	e2_t0	q1_t0	q2_t0	q1_t1	q2_t1	q1_t2	q2_t2	q1_t3	q2_t3	cov_d12	cov_d21	cov_e1	cov_e2	alpha	hp_rate	beta
0	-3096.4857330599634	-9.1467541328186908	-3087.3389789271446	0.0	0.63	0.26000000000000001	0.0	33.066829831088803	41.33353728886101	4.9059587162947675	41.33353728886101	2.5173638959867728	41.33353728886101	1.7046745647407457	41.33353728886101	0.0	-0.71999999999999997	-2.9399999999999999	0.0	0.55000000000000004	1.0	1.0
100	-3100.7440840064382	-9.2899165118425664	-3091.4541674945958	0.0	0.74952481366875012	0.28363756535512591	0.0	33.066829831088803	41.33353728886101	5.0531065455688626	41.33353728886101	2.8435199171072787	41.33353728886101	1.8432397465602086	41.33353728886101	0.0	-0.71999999999999997	-2.9399999999999999	0.0	0.56817929093224839	1.0	1.0
200	-3099.705375887705	-9.056986677236381	-3090.6483892104688	0.0	0.71628780520316404	0.27722919945533336	0.0	33.066829831088803	41.33353728886101	5.7107792107639668	41.33353728886101	3.0456409170758612	41.33353728886101	1.8849573845432852	41.33353728886101	0.0	-0.71406678788217337	-2.8749851655203402	0.0	0.53950930040898015	1.0	1.0
300	-3103.1219903678248	-9.3901076999801312	-3093.7318826678447	0.0	0.71981008391939227	0.33268023771884936	0.0	26.617548218071011	41.33353728886101	5.4238441267742106	41.33353728886101	2.6863023980981642	41.33353728886101	1.8995824733931725	41.33353728886101	0.0	-0.72630132784530799	-2.9658410058896516	0.0	0.64055911303347657	1.0	1.0
400	-3101.1125434153091	-9.4989940349042712	-3091.6135493804049	0.0	0.72492934501712036	0.31775364229153785	0.0	34.488299134553458	41.33353728886101	5.9170324266199827	41.33353728886101	2.6969873857506084	41.33353728886101	1.6278660090679951	41.33353728886101	0.0	-0.78642163349304339	-2.9904272009075856	0.0	0.56423501149998956	1.0	1.0
500	-3099.0965033516563	-9.2863979147302143	-3089.8101054369263	0.0	0.67289936197094036	0.2754156469576457	0.0	34.488299134553458	41.33353728886101	5.9170324266199827	41.33353728886101	2.4439627457690505	41.33353728886101	1.6819788294001958	41.33353728886101	0.0	-0.68427634930406511	-2.9759743654388178	0.0	0.51518452358897138	1.0	1.0
600	-3099.6359008680288	-9.0311861939513687	-3090.6047146740775	0.0	0.63114908644316436	0.27992142845328516	0.0	34.488299134553458	41.33353728886101	5.7928717948574704	41.33353728886101	2.4612677929806073	41.33353728886101	1.8415557762576598	41.33353728886101	0.0	-0.77245850072113253	-2.8795886784636648	0.0	0.50725594170728083	1.0	1.0
700	-3101.8493085114242	-9.0867725902113712	-3092.7625359212129	0.0	0.59382509945888606	0.28530330718400082	0.0	34.488299134553458	41.33353728886101	5.7928717948574704	41.33353728886101	2.4612677929806073	41.33353728886101	1.8415557762576598	41.33353728886101	0.0	-0.8611102531026531	-2.8848343511371799	0.0	0.49914104182886987	1.0	1.0
800	-3100.7699685074103	-9.3704428243998272	-3091.3995256830103	0.0	0.65715517950050861	0.33141634809045772	0.0	34.488299134553458	41.33353728886101	5.3001052080372384	41.33353728886101	2.5353295079420315	41.33353728886101	1.6275441376188886	41.33353728886101	0.0	-0.96492809933545531	-2.9122410770904952	0.0	0.56721182148935145	1.0	1.0
900	-3099.3244605303707	-9.4001483085423416	-3089.9243122218286	0.0	0.6087459287978827	0.30238390783244667	0.0	34.488299134553458	41.33353728886101	4.8884890611881948	41.33353728886101	2.7200763530750978	41.33353728886101	1.6275441376188886	41.33353728886101	0.0	-0.92086232937885393	-2.9628603153907869	0.0	0.53880637633267281	1.0	1.0
