it	posterior	prior	likelihood	d12_t0	d21_t0	e1_t0	e2_t0	q1_t0	q2_t0	q1_t1	q2_t1	q1_t2	q2_t2	q1_t3	q2_t3	cov_d12	cov_d21	cov_e1	cov_e2	alpha	hp_rate	beta
1000	-3102.5054661195995	-8.3573064511442823	-3094.1481596684553	0.0	0.60804332394808325	0.28156895931784515	0.0	18.653875342028339	41.33353728886101	4.5235672980289596	41.33353728886101	2.6369572126458944	41.33353728886101	1.6400167464703492	41.33353728886101	0.0	-0.57518449752647871	-2.6931473899370117	0.0	0.64301007161678181	1.0	1.0
1100	-3098.7138986320474	-7.7235691549809138	-3090.9903294770666	0.0	0.60011489028338261	0.24787023686174567	0.0	18.653875342028339	41.33353728886101	4.5235672980289596	41.33353728886101	2.7296526398942058	41.33353728886101	1.6400167464703492	41.33353728886101	0.0	-0.64574756519928833	-2.4459496871508581	0.0	0.56457044388875188	1.0	1.0
1200	-3099.6067199978652	-7.3284939574705863	-3092.2782260403947	0.0	0.5196210535064899	0.24139964356049576	0.0	15.978672564023606	41.33353728886101	4.3896544805598197	41.33353728886101	2.3542406835498375	41.33353728886101	1.555125988512984	41.33353728886101	0.0	-0.64430521479528646	-2.3169611661306324	0.0	0.58717417846064757	1.0	1.0
1300	-3099.6837775783165	-7.3425545017814615	-3092.3412230765352	0.0	0.60169964086732886	0.25819640500761415	0.0	16.576130065934617	41.33353728886101	4.1480934696540519	41.33353728886101	2.3165710678757083	41.33353728886101	1.5987739884463177	41.33353728886101	0.0	-0.79297233258256961	-2.2327121457846317	0.0	0.61027976282798602	1.0	1.0
1400	-3099.6571689776092	-7.0946179113363907	-3092.562551066273	0.0	0.56653361532869884	0.26328795050290071	0.0	17.653209731804338	41.33353728886101	4.1649337200208976	41.33353728886101	2.6436575261462139	41.33353728886101	1.6606353359303356	41.33353728886101	0.0	-0.72880361387447878	-2.1556738430884441	0.0	0.61179695866211725	1.0	1.0
1500	-3099.0254182758449	-7.141266665490245	-3091.8841516103548	0.0	0.61760154124363509	0.27984466283366527	0.0	19.191368513732979	41.33353728886101	4.4205822948895994	41.33353728886101	2.4605636214526219	41.33353728886101	1.5954703557736956	41.33353728886101	0.0	-0.7825032362056813	-2.1269276768419143	0.0	0.58543252627590847	1.0	1.0
1600	-3103.7222147105085	-7.3459475042671372	-3096.3762672062412	0.0	0.57027403996493453	0.29350018819630974	0.0	19.417692015390205	41.33353728886101	4.7606690573377994	41.33353728886101	2.5156451764361045	41.33353728886101	1.5149111698050064	41.33353728886101	0.0	-0.87856416033355433	-2.2002189215511718	0.0	0.53362315122421111	1.0	1.0
1700	-3105.9622526803905	-7.0452045792591296	-3098.9170481011315	0.0	0.58092592825690559	0.27369580631033119	0.0	19.417692015390205	41.33353728886101	4.3906883528603213	41.33353728886101	2.7990254439705602	41.33353728886101	1.4849507688250576	41.33353728886101	0.0	-0.74407947353152559	-2.1156566736631564	0.0	0.62708462894717998	1.0	1.0
1800	-3099.5193271516505	-7.69881459831611	-3091.8205125533345	0.0	0.7259677851343268	0.29344329835591398	0.0	21.307789104111745	41.33353728886101	4.3242326561823861	41.33353728886101	2.3316042311049761	41.33353728886101	1.4824449725289277	41.33353728886101	0.0	-0.71954460088993133	-2.3429797974682813	0.0	0.56188106851907926	1.0	1.0
1900	-3099.7493530985794	-7.5350448564563006	-3092.214308242123	0.0	0.64033448220882483	0.29818044095386809	0.0	21.307789104111745	41.33353728886101	4.3242326561823861	41.33353728886101	2.5457447553274246	41.33353728886101	1.4824449725289277	41.33353728886101	0.0	-0.67074211577471199	-2.3219941031526972	0.0	0.54450736091974217	1.0	1.0
2000	-3101.0199163463521	-7.0396849977286564	-3093.9802313486234	0.0	0.56429056121498522	0.25422236552867261	0.0	21.307789104111745	41.33353728886101	4.3242326561823861	41.33353728886101	2.5457447553274246	41.33353728886101	1.4824449725289277	41.33353728886101	0.0	-0.56095394262172282	-2.1854442455916736	0.0	0.53151019255623633	1.0	1.0
2100	-3104.5269821179991	-6.9986595333935018	-3097.5283225846056	0.0	0.53401248296700743	0.2900728568173746	0.0	15.653101108549942	41.33353728886101	4.3076612923008275	41.33353728886101	1.9559698189487773	41.33353728886101	1.5620060812479892	41.33353728886101	0.0	-0.49433237932868512	-2.1802008211006849	0.0	0.61398581687552545	1.0	1.0
2200	-3105.5169181184683	-7.0204757466304448	-3098.4964423718379	0.0	0.66667731671595687	0.25888819601108942	0.0	17.11058838933587	41.33353728886101	3.2812372921659367	41.33353728886101	2.6467224477061055	41.33353728886101	1.6242582442704685	41.33353728886101	0.0	-0.44533877617776224	-2.1540625749039672	0.0	0.56117942237319685	1.0	1.0
2300	-3100.0811182572261	-6.6773108976069633	-3093.4038073596189	0.0	0.67481534947277932	0.27894131517341647	0.0	17.11058838933587	41.33353728886101	3.7173638323139051	41.33353728886101	2.5064912371523751	41.33353728886101	1.6242582442704685	41.33353728886101	0.0	-0.48751305663885636	-1.964161709200847	0.0	0.57680193592396534	1.0	1.0
2400	-3104.6296355812888	-6.9623543514419275	-3097.667281229847	0.0	0.61979182302765812	0.22984389158083834	0.0	26.366016942513067	41.33353728886101	4.6910605233156826	41.33353728886101	2.6052480068861978	41.33353728886101	2.1196247570197699	41.33353728886101	0.0	-0.64061327781413691	-2.1127100218245074	0.0	0.50380463304727929	1.0	1.0
2500	-3098.363771695203	-7.150526583458781	-3091.2132451117441	0.0	0.6501840523378789	0.26488860957576743	0.0	26.366016942513067	41.33353728886101	4.7616646656110442	41.33353728886101	2.6245790025411586	41.33353728886101	1.9639435291076615	41.33353728886101	0.0	-0.61519283661719903	-2.177369364905223	0.0	0.55622180516092612	1.0	1.0
