Time	Cov
13.7	0
13.6	0.0072992700729927
13.5	0.0145985401459854
13.4	0.0218978102189781
13.3	0.0291970802919708
13.2	0.0364963503649635
13.1	0.0437956204379562
13	0.0510948905109489
12.9	0.0583941605839416
12.8	0.0656934306569343
12.7	0.072992700729927
12.6	0.0802919708029197
12.5	0.0875912408759124
12.4	0.0948905109489051
12.3	0.102189781021898
12.2	0.109489051094891
12.1	0.116788321167883
12	0.124087591240876
11.9	0.131386861313869
11.8	0.138686131386861
11.7	0.145985401459854
11.6	0.153284671532847
11.5	0.160583941605839
11.4	0.167883211678832
11.3	0.175182481751825
11.2	0.182481751824818
11.1	0.18978102189781
11	0.197080291970803
10.9	0.204379562043796
10.8	0.211678832116788
10.7	0.218978102189781
10.6	0.226277372262774
10.5	0.233576642335766
10.4	0.240875912408759
10.3	0.248175182481752
10.2	0.255474452554744
10.1	0.262773722627737
10	0.27007299270073
9.9	0.277372262773723
9.8	0.284671532846715
9.7	0.291970802919708
9.6	0.299270072992701
9.5	0.306569343065693
9.4	0.313868613138686
9.3	0.321167883211679
9.2	0.328467153284672
9.1	0.335766423357664
9	0.343065693430657
8.9	0.35036496350365
8.8	0.357664233576642
8.7	0.364963503649635
8.6	0.372262773722628
8.5	0.37956204379562
8.4	0.386861313868613
8.3	0.394160583941606
8.2	0.401459854014599
8.1	0.408759124087591
8	0.416058394160584
7.9	0.423357664233577
7.8	0.430656934306569
7.7	0.437956204379562
7.6	0.445255474452555
7.5	0.452554744525547
7.4	0.45985401459854
7.3	0.467153284671533
7.2	0.474452554744526
7.1	0.481751824817518
7	0.489051094890511
6.9	0.496350364963504
6.8	0.503649635036496
6.7	0.510948905109489
6.6	0.518248175182482
6.5	0.525547445255474
6.4	0.532846715328467
6.3	0.54014598540146
6.2	0.547445255474453
6.1	0.554744525547445
6	0.562043795620438
5.9	0.569343065693431
5.8	0.576642335766423
5.7	0.583941605839416
5.6	0.591240875912409
5.5	0.598540145985401
5.4	0.605839416058394
5.3	0.613138686131387
5.2	0.62043795620438
5.1	0.627737226277372
5	0.635036496350365
4.9	0.642335766423358
4.8	0.64963503649635
4.7	0.656934306569343
4.6	0.664233576642336
4.5	0.671532846715328
4.4	0.678832116788321
4.3	0.686131386861314
4.2	0.693430656934306
4.1	0.700729927007299
4	0.708029197080292
3.9	0.715328467153285
3.8	0.722627737226277
3.7	0.72992700729927
3.6	0.737226277372263
3.5	0.744525547445255
3.4	0.751824817518248
3.3	0.759124087591241
3.2	0.766423357664234
3.1	0.773722627737226
3	0.781021897810219
2.9	0.788321167883212
2.8	0.795620437956204
2.7	0.802919708029197
2.6	0.81021897810219
2.5	0.817518248175182
2.4	0.824817518248175
2.3	0.832116788321168
2.2	0.839416058394161
2.1	0.846715328467153
2	0.854014598540146
1.9	0.861313868613139
1.8	0.868613138686131
1.7	0.875912408759124
1.6	0.883211678832117
1.5	0.89051094890511
1.4	0.897810218978102
1.3	0.905109489051095
1.2	0.912408759124088
1.1	0.91970802919708
1	0.927007299270073
0.9	0.934306569343066
0.800000000000001	0.941605839416058
0.700000000000001	0.948905109489051
0.6	0.956204379562044
0.5	0.963503649635036
0.4	0.970802919708029
0.300000000000001	0.978102189781022
0.200000000000001	0.985401459854015
0.0999999999999996	0.992700729927007
0	1
