it	d12_0	d12_1	d12_2	d12_3	d12_4	d12_5	d12_6	d12_7	d12_8	d12_9	d12_10	d12_11	d12_12	d12_13	d12_14	d12_15	d12_16	d12_17	d12_18	d12_19	d12_20	d12_21	d12_22	d12_23	d12_24	d12_25	d12_26	d12_27	d12_28	d12_29	d12_30	d12_31	d12_32	d12_33	d12_34	d12_35	d12_36	d12_37	d12_38	d12_39	d12_40	d12_41	d12_42	d12_43	d12_44	d12_45	d12_46	d12_47	d21_0	d21_1	d21_2	d21_3	d21_4	d21_5	d21_6	d21_7	d21_8	d21_9	d21_10	d21_11	d21_12	d21_13	d21_14	d21_15	d21_16	d21_17	d21_18	d21_19	d21_20	d21_21	d21_22	d21_23	d21_24	d21_25	d21_26	d21_27	d21_28	d21_29	d21_30	d21_31	d21_32	d21_33	d21_34	d21_35	d21_36	d21_37	d21_38	d21_39	d21_40	d21_41	d21_42	d21_43	d21_44	d21_45	d21_46	d21_47	e1_0	e1_1	e1_2	e1_3	e1_4	e1_5	e1_6	e1_7	e1_8	e1_9	e1_10	e1_11	e1_12	e1_13	e1_14	e1_15	e1_16	e1_17	e1_18	e1_19	e1_20	e1_21	e1_22	e1_23	e1_24	e1_25	e1_26	e1_27	e1_28	e1_29	e1_30	e1_31	e1_32	e1_33	e1_34	e1_35	e1_36	e1_37	e1_38	e1_39	e1_40	e1_41	e1_42	e1_43	e1_44	e1_45	e1_46	e1_47	e2_0	e2_1	e2_2	e2_3	e2_4	e2_5	e2_6	e2_7	e2_8	e2_9	e2_10	e2_11	e2_12	e2_13	e2_14	e2_15	e2_16	e2_17	e2_18	e2_19	e2_20	e2_21	e2_22	e2_23	e2_24	e2_25	e2_26	e2_27	e2_28	e2_29	e2_30	e2_31	e2_32	e2_33	e2_34	e2_35	e2_36	e2_37	e2_38	e2_39	e2_40	e2_41	e2_42	e2_43	e2_44	e2_45	e2_46	e2_47
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.445788180226663	0.4528723647820439	0.46006912672964995	0.4673802550783841	0.47356153558602887	0.47982456586444183	0.48744963519010442	0.4951958773075692	0.50306521781840774	0.50971844544449452	0.51645966452035097	0.5246669157243018	0.53300459138722223	0.54005377854356562	0.54719619386410889	0.55589189060367794	0.56472577387055534	0.57370003963786476	0.58128743947711103	0.58897518554669226	0.59833480766774305	0.6078431669994584	0.61750262717976634	0.62566933279330517	0.63394404617497724	0.64401828506261438	0.65425261739978802	0.66290535552269103	0.67167252937734745	0.68234632552077423	0.69318974289944357	0.70420547702702818	0.71351886059688818	0.72295541718421075	0.73444416863123496	0.74611549206910976	0.75797228881674672	0.76799675879229623	0.77815380617176033	0.7905197355972331	0.8030821765726629	0.81370324186189535	0.82446477475353375	0.83756664887858312	0.85087672972251871	0.86439832597517952	0.87583032051310694	0.8874135074992241	0.063329736430678074	0.067540981752780074	0.072032262776314943	0.076822201069982457	0.081056246088689873	0.085523649914757138	0.091210726648873211	0.097275977628498544	0.10374455035324585	0.10946241694028949	0.11549542295582282	0.12317553639162244	0.13136635528117252	0.1386065938379579	0.14624587714442022	0.15597080733855265	0.16634241741951242	0.1774037097397772	0.18718129073930709	0.19749776176736375	0.21063079487699657	0.2246371369148687	0.23957486041287557	0.25277899580877017	0.26671087530624782	0.28444638139376516	0.30336124762480587	0.32008096095617206	0.33772217898226087	0.36017973251978308	0.38413064877458564	0.40967423207212078	0.43225337088145582	0.4560769558127557	0.4864047615946	0.51874927923135927	0.55324461426087013	0.58373661488714856	0.61590917792330202	0.65686536676214757	0.70054502435958366	0.73915546677671751	0.77989391840355082	0.83175462082740814	0.88706391079943092	0.94605110947265925	0.99819258591716298	1.0532078326459466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53036397257162027	0.53879218226823444	0.54735432775680226	0.55605253746044248	0.56340654241397692	0.57085780686227727	0.57992951902978296	0.5891453931245858	0.59850772007709718	0.60642321086557094	0.61444338701117662	0.62420773372446836	0.6341272492763429	0.64251382179995309	0.65101130991467537	0.66135677099157286	0.6718666356099503	0.68254351636718269	0.69157041232074046	0.70071669238476508	0.7118520400455437	0.72316434362713022	0.73465641520139369	0.74437252393675113	0.75421713188208461	0.76620267477908577	0.77837868436328272	0.7886730366320025	0.79910353559995939	0.81180238491034062	0.82470303632348296	0.8378086967511057	0.84888903339368493	0.86011591167588741	0.87378433118004206	0.8876699605848688	0.90177625165309216	0.91370258338412669	0.92578664535955135	0.94049866273807259	0.95544447421638012	0.96808058847332545	0.98088382011681019	0.99647140704107862	1.0123067020640417	1.0283936416065491	1.0419945361714733	1.0557753077071237	0.069087277906843644	0.07368138317712894	0.078580983234210131	0.083806392602737589	0.088425370374699774	0.093298922469637821	0.099503032465224225	0.10611969793110393	0.11317635261944969	0.11941405168781308	0.12599554068019272	0.13437388174396731	0.1433093583904933	0.15120783391678913	0.15954163283257003	0.17015069253838644	0.18146522420060227	0.19353213967522248	0.20419863686664244	0.21545301657992968	0.22978002249125473	0.24505973308799781	0.26135550049154677	0.27576007286197363	0.29095855125230269	0.31030645804847357	0.33094094499766696	0.34918070954668368	0.36842575620367901	0.39292500931604518	0.41905339229503252	0.44691923759102758	0.47155112974370156	0.49754060523579752	0.53062562444551076	0.56591070227272733	0.60354213628764986	0.63680627790474442	0.67190376810016328	0.7165834361327591	0.76423417358076795	0.80635483467492242	0.85079697019712441	0.90737252163216131	0.96771018451364288	1.0320601284320798	1.088941980096467	1.1489588671717121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50829213533861994	0.51630250869368632	0.52443912063641995	0.53270396060979819	0.53969073617238994	0.54676914805904109	0.55538589561518159	0.5641384378457468	0.57302891479180051	0.58054457961611083	0.58815881750766663	0.59742784095453172	0.60684293854515026	0.61480209734041291	0.6228656459286589	0.6326816277765962	0.64265230349835478	0.65278011097482824	0.66134176709971249	0.67001571518075231	0.68057475329922346	0.69130019540414023	0.70219466392061336	0.7114044255909544	0.72073497956346244	0.73209332228602553	0.74363066554701318	0.75338388862365457	0.76326503186925898	0.77529362221930676	0.78751177580069376	0.79992248001407373	0.81041400860892876	0.82104314075288598	0.83398227878158182	0.84712532971645216	0.86047550710025489	0.87176122992149119	0.88319497269047342	0.89711358559967203	0.91125154734044977	0.92320323254107084	0.93531167223999878	0.95005161247732417	0.96502384516287665	0.98023203108364942	0.9930884423493086	1.0061134742123268	0.069668619330193762	0.074195675819054965	0.079016899763082848	0.084151406119621588	0.08868412179827119	0.093460986830697271	0.099534067809695689	0.10600177668454841	0.11288975631704608	0.11897042914252244	0.1253786301974571	0.1335257148800143	0.14220219590962219	0.14986174852626785	0.1579338738596136	0.1681963934177885	0.17912576996558885	0.19076533577069915	0.20104068431522087	0.21186950232150256	0.22563675096942659	0.24029859338028944	0.2559131601233251	0.26969761895476613	0.2842245613114156	0.30269343089644735	0.32236240487138518	0.33972607345573014	0.35802501545332366	0.38128942753677292	0.4060655576461355	0.43245163699317202	0.45574513148891782	0.48029330243726254	0.5115026895653475	0.5447400580122802	0.58013718570156647	0.61138558710865909	0.64431714659381489	0.68618477864128824	0.73077296317216123	0.77013518206361031	0.81161760018811846	0.86435639074734472	0.92052214004798538	0.98033753135772206	1.0331422497059493	1.088791231576326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50779836036437098	0.51593915868469431	0.52421046667670035	0.53261437661361977	0.5397204606970939	0.54692135339486525	0.55568935420501175	0.56459791971925966	0.57364930340866471	0.58130287109935719	0.58905855187211564	0.59850207757828711	0.60809699770438441	0.61621016285037589	0.62443157297855689	0.63444218328618607	0.64461327926281031	0.65494743374356779	0.66368567239951315	0.67254049570160634	0.68332236694244375	0.6942770883658308	0.70540743102930836	0.71481890157554606	0.72435593895585204	0.73596849242478557	0.74776721320569461	0.75774384343803902	0.76785358080457644	0.78016346919488688	0.79267070426166042	0.80537844977937445	0.81612372297221969	0.82701235845147891	0.84027065415321667	0.85374150097721802	0.86742830644889901	0.87900144219713505	0.89072898548551149	0.90500875792057911	0.91951745734030788	0.9317855609721083	0.94421734433126903	0.9593546184359677	0.97473456661215718	0.99036107930302819	1.0035743709668259	1.0169639529556791	0.0800332004188989	0.08540349092541924	0.091134132136065749	0.097249303865656014	0.10265758273305289	0.10836662961775045	0.11563811544130614	0.12339752366559222	0.13167759426630476	0.13900051712613218	0.1467306861808024	0.15657643028309504	0.16708283153523826	0.17637472886486016	0.18618337202163196	0.1986764222808543	0.21200776600895477	0.2262336533550468	0.23881507695294052	0.2520961852237476	0.26901203693467557	0.28706295556005179	0.30632510497990401	0.32336061604232375	0.34134351480637087	0.36424793231600799	0.38868925420114936	0.41030524316888856	0.43312335175790184	0.46218626829657933	0.49319932932482585	0.52629339106710571	0.55556189286420832	0.58645808980623715	0.62580988750611777	0.66780222168955783	0.7126122744251947	0.75224243887085052	0.79407653663389954	0.84735969492090157	0.9042181949112017	0.95450404746403583	1.0075864230034628	1.0751962620906486	1.1473427743971598	1.2243303742534661	1.2924184718190228	1.364293120080035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49685113045842372	0.50548145766365482	0.51426169405315325	0.52319444355641032	0.53075681440913181	0.53842849348104127	0.54778102141244334	0.55729600318825834	0.56697626063930739	0.57517146378117989	0.58348512224331728	0.59362028590833282	0.60393149783679301	0.61266086033773293	0.62151639901915978	0.63231216772759224	0.64329545943974575	0.65446953143890163	0.66392938211106245	0.67352596760500016	0.68522514493461162	0.69712753751763989	0.70923667521247236	0.71948814257105065	0.72988778695808332	0.74256597170677918	0.75546437711321757	0.76638403013345147	0.77746151828886167	0.79096606095965705	0.80470517816367004	0.81868294447143419	0.83051637296659653	0.84252084451437859	0.85715547070246423	0.87204430102693342	0.88719175102543824	0.90001542130970891	0.91302444782544745	0.928883724876581	0.94501847830645069	0.9586779891893441	0.9725349377328153	0.98942791475675618	1.0066143235759566	1.0240992611143243	1.0389018235228635	1.0539183455173322	0.075544761618650882	0.080657287254027529	0.086115805355491029	0.091943731118411892	0.097100508396684659	0.10254650987299956	0.10948639093570822	0.11689593156288354	0.12480691617626191	0.1318068656201252	0.13919941584059492	0.14861979875883022	0.1586777103174716	0.16757734492202861	0.17697612648261454	0.18895306524190833	0.20174054870513961	0.21539343084879475	0.22747403641677852	0.24023219761082842	0.25649001936328986	0.27384809649685132	0.29238088928805378	0.30877943118037793	0.32609770546988098	0.34816651398989701	0.37172883902758197	0.39257770830293692	0.4145959120619927	0.44265387641747184	0.47261067609879426	0.50459481563854003	0.53289563667731166	0.56278374408258069	0.60087038645389113	0.64153455943508875	0.68495069856659707	0.72336700119147557	0.76393792941269867	0.81563777152318961	0.87083642364342162	0.91967835585469293	0.97125964792432806	1.0369900803490966	1.1071688492778893	1.1820969978793427	1.2483963623409406	1.3184142082265653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48438541977081551	0.49169817622792167	0.49912133321489149	0.50665655744619387	0.51302273773549001	0.51946890959082892	0.52731132075315001	0.53527212863123852	0.54335312065781349	0.55018039620773418	0.55709345702263713	0.56550388518329775	0.57404128540035926	0.58125416020213494	0.58855766535442589	0.59744310800407519	0.60646269399383834	0.61561844848288916	0.62335374367419849	0.63118623347012748	0.64071523871274827	0.65038810314636353	0.66020699861014298	0.66850255251078261	0.67690234071166921	0.68712152106026758	0.69749498015886635	0.70625906053898069	0.71513326229214302	0.72592961405680301	0.73688895811614774	0.74801375516140922	0.75741260800214594	0.76692955818282094	0.77850787753314432	0.79026099452628618	0.80219154807857007	0.81227114923356025	0.82247740138566783	0.83489432535223285	0.84749870735780508	0.85814759660376816	0.86893028999738131	0.88204851224271619	0.89536478001236885	0.90888208319543917	0.92030225948309707	0.93186593120195826	0.065935255054534556	0.070375176777686801	0.075114072166617876	0.080172073389956675	0.084646295383738787	0.089370213582236499	0.095388189130497333	0.10181140069921511	0.10866713590877995	0.11473160286000239	0.12113451398843546	0.1292914212398886	0.13799759503576489	0.14569892853870278	0.15383005603702213	0.16418860256736628	0.17524466874364664	0.18704522386363506	0.19748379454113255	0.20850491822660533	0.22254513866789585	0.23753079383425979	0.25352554702949742	0.2676742341039563	0.28261252738684828	0.30164297624978209	0.3219548898350108	0.33992246368206508	0.35889276716653817	0.38305974417916944	0.40885406738364583	0.43638531836423872	0.46073899548185598	0.48645179620925039	0.51920829188776918	0.55417053131622984	0.59148704398136986	0.62449659742457908	0.65934833934783565	0.70374727300743112	0.75113592422976294	0.7930551204087376	0.83731373206713133	0.89369642786505765	0.95387579898752894	1.0181075044326824	1.0749257803703738	1.1349149557135558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43548746343854222	0.44291645315764122	0.45047217416725943	0.45815678837912416	0.46466067883736312	0.47125689705798773	0.4792960782910255	0.48747240008434156	0.4957882019216136	0.50282629944100932	0.50996430820577276	0.51866379997266443	0.52751169655099972	0.53500013364683618	0.54259487490712044	0.55185101219174693	0.56126505011531025	0.57083968230810278	0.5789431937197369	0.58716174075211325	0.59717814513044798	0.60736541955992362	0.61772647891630561	0.62649558472010503	0.63538917477255263	0.64622829195342701	0.65725231386029537	0.66658251950429459	0.67604517464375191	0.68757784337414274	0.69930724814087186	0.71123674506808499	0.72133330152458253	0.73157318641986768	0.74405310866095586	0.75674592615577219	0.76965527068888917	0.78058112336232965	0.7916620769766558	0.80516705685465895	0.81890241846599177	0.83052737254455622	0.84231735184991363	0.85668646111818725	0.87130069332107707	0.88616423001583577	0.89874401760432276	0.91150238502080472	0.070189792427883202	0.074758250430978446	0.079624056635345039	0.08480656460683382	0.089382077909913316	0.094204450899901787	0.10033595610534934	0.10686654389898974	0.11382218945443276	0.11996316385245036	0.12643545823946026	0.13466478989993708	0.14342974582690615	0.15116811741560093	0.15932399232272854	0.16969394702176405	0.18073885317595897	0.19250264149475643	0.20288861103756978	0.21383492802552323	0.2277528476330388	0.24257664584509242	0.25836528377579482	0.27230469752814523	0.28699617538492755	0.30567595671697961	0.32557155296414469	0.34313690275278197	0.36164994440942239	0.38518873154223371	0.41025959273795887	0.43696224642818049	0.46053738569652169	0.48538445908746641	0.5169767809906054	0.55062535909343346	0.58646402938216757	0.61810514090055046	0.65145336468492032	0.69385464889723569	0.73901571454643611	0.77888734770087764	0.82091014909045934	0.87434090320314073	0.93124931621456186	0.99186173925183641	1.0453750091714711	1.1017754456629825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39265129254066167	0.40012554107527737	0.40774206442782551	0.41550357084699829	0.42208423330464084	0.42876911897820724	0.43693088240568778	0.44524800772677869	0.4537234523070301	0.46090943360356224	0.4682092250347295	0.47712174405756447	0.48620391585758782	0.49390431623999775	0.5017266740236449	0.51127720888584838	0.52100954136989763	0.53092713205426145	0.5393358497905042	0.54787774311657667	0.55830677899760217	0.56893433506086566	0.5797641902043601	0.58894637950055839	0.59827399447446439	0.60966233983700091	0.62126746615825246	0.63110697603868093	0.64110232210877161	0.65330591899636858	0.66574181542782807	0.67841443330257634	0.68915902541969476	0.70007378823793032	0.71339992668510832	0.72697973262976556	0.7408180347174651	0.75255096259356524	0.76446971423487386	0.77902165064747675	0.79385058803135855	0.80642343488075241	0.81919540796407675	0.83478906624015459	0.85067955501121229	0.86687252454488972	0.88060187822097435	0.89454867465481835	0.071359241523739528	0.076012546674126824	0.080969291832567084	0.086249264190209785	0.09091131649772434	0.095825367844559181	0.10207409846735459	0.10873030610040878	0.11582056214260489	0.12208103896016662	0.12867991484312905	0.13707107620786591	0.14600942156114435	0.15390170408783144	0.16222059006801517	0.17279892429836485	0.18406706710999296	0.19607000062091964	0.20666821971776039	0.21783930691104123	0.23204451351302996	0.24717603546859993	0.26329427739968464	0.27752618656472477	0.29252737655304079	0.31160295974138918	0.33192245342544363	0.34986393796373882	0.36877521789886852	0.39282288970901663	0.4184386997546557	0.44572490564912182	0.46981778162213339	0.49521295563883488	0.52750557741853954	0.56190398704069189	0.59854550201601253	0.63089882659246732	0.6650009532359723	0.70836537660468091	0.7545575751892748	0.79534385803576846	0.83833477167934367	0.89300221807458646	0.95123450490867967	1.0132640938785276	1.0680343026604864	1.1257650187654045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41338729972620142	0.42221503153412987	0.43123127626667962	0.44044005954713905	0.44826408735372331	0.45622710208892892	0.4659696619194244	0.47592027048620955	0.48608337059255469	0.49471821141912414	0.50350644254993171	0.514258635085452	0.52524043668761178	0.53457086813386079	0.54406704643601078	0.55568539555958074	0.56755185020110366	0.57967170856150141	0.58996906337327459	0.60044934157867502	0.61327171361384503	0.62636790262777309	0.63974375588004984	0.65110823744024404	0.66267459895619363	0.67682576818511364	0.69127913036191646	0.70355909223374113	0.71605719675872903	0.73134833147987255	0.74696600268737301	0.7629171834462688	0.77646973192140545	0.79026302942429505	0.80713880206196265	0.82437495053845145	0.84197917054556781	0.85693618524056825	0.87215889806256763	0.89078352647058623	0.90980587688099135	0.92596777297788568	0.94241677085339459	0.96254172996534082	0.98309645008301583	1.0040901085926202	1.0219268806110933	1.0400805070964276	0.08180870960812249	0.087195734617851808	0.092937490054139107	0.099057334575111802	0.1044639363319103	0.11016563327456264	0.11741993449145677	0.12515192448098525	0.13339305859035269	0.1406737223394107	0.14835176856988888	0.15812059014587695	0.16853267924677173	0.17773128209230504	0.18743194955039899	0.1997741635357676	0.21292910046632246	0.22695027736797291	0.23933734364213335	0.25240050255059249	0.26902083339582172	0.28673559707542889	0.30561686094114854	0.3222975909886423	0.3398887641120199	0.36227011301201084	0.38612525225600425	0.40720017291832639	0.42942537390634156	0.45770262262627642	0.48784190103461911	0.5199658219992207	0.54834583180621332	0.57827483757134013	0.61635368061160101	0.65693997891893585	0.70019884601608917	0.73841606967970785	0.77871920964105346	0.82999712220057931	0.8846516360868848	0.9329363906720729	0.98385655272190298	1.0486425624375812	1.117694668713036	1.1912937899122342	1.256315235573271	1.3248855861573847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39112773056187844	0.39909482759330295	0.40722421082984245	0.41551918596895066	0.42256059048714378	0.42972131892409476	0.43847455009852909	0.44740608067915733	0.45651954254518146	0.4642557407234319	0.47212303682121398	0.48173997203499153	0.49155279992015549	0.49988267305998918	0.50835370455867446	0.51870864227859748	0.52927450545105859	0.54005559053323904	0.54920739387629902	0.55851428403986114	0.56989097034126401	0.58149939465707245	0.59334427738704942	0.60339911291984127	0.61362433809224759	0.62612359155965447	0.63887744923283363	0.64970389169206577	0.66071379947232911	0.67417224421833355	0.68790483146768211	0.70191714538062167	0.71381186101777094	0.72590814497536904	0.74069456939639378	0.75578218667311503	0.7711771319693661	0.78424553007164333	0.79753538576372651	0.81378082506112981	0.83035717669505971	0.84442844216998725	0.85873815986478175	0.87623027231204087	0.8940786912706068	0.91229067454484047	0.92775038830671153	0.94347208298789664	0.072849019543597696	0.077732172089180623	0.08294264789776451	0.088502387819548403	0.093419147234767394	0.098609057733733962	0.1052189349058192	0.11227187965439438	0.11979759130249201	0.1264529590215874	0.13347806639066082	0.14242525282856427	0.15197217933852056	0.16041500966234815	0.16932688230817963	0.18067705560576217	0.19278804391469459	0.2057108455295685	0.2171391330762551	0.22920232033332694	0.24456601226770316	0.26095954992751152	0.27845196504176117	0.29392139309376852	0.31025022683975334	0.33104665202778949	0.35323708522351377	0.37286120845189985	0.3935755518994889	0.41995736829424479	0.44810758781497662	0.47814474853234445	0.50470813006479953	0.53274724303758603	0.5684578960057346	0.60656227461409506	0.64722083301190281	0.68317725410785812	0.72113123793987777	0.76946948411404925	0.82104789784755439	0.86666129971778227	0.91480875890138824	0.97612942934743874	1.0415604940014209	1.1113774772570126	1.1731201692881861	1.2382929830352187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
