scientificName	13.369782955102	13.0912458102041	12.8127086653061	12.5341715204082	12.2556343755102	11.9770972306122	11.6985600857143	11.4200229408163	11.1414857959184	10.8629486510204	10.5844115061224	10.3058743612245	10.0273372163265	9.74880007142857	9.47026292653061	9.19172578163265	8.91318863673469	8.63465149183673	8.35611434693877	8.07757720204082	7.79904005714286	7.5205029122449	7.24196576734694	6.96342862244898	6.68489147755102	6.40635433265306	6.1278171877551	5.84928004285714	5.57074289795918	5.29220575306122	5.01366860816326	4.73513146326531	4.45659431836735	4.17805717346939	3.89952002857143	3.62098288367347	3.34244573877551	3.06390859387755	2.78537144897959	2.50683430408163	2.22829715918367	1.94976001428571	1.67122286938775	1.3926857244898	1.11414857959184	0.835611434693877	0.557074289795918	0.278537144897959	0
SP_001	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
SP_002	2	2	2	3	3	2	3	3	3	3	3	3	3	3	3	2	3	2	3	2	2	3	3	2	3	2	3	3	2	2	2	3	2	3	2	2	3	2	2	2	3	3	2	2	2	3	2	2	3
SP_003	2	3	2	3	3	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3
SP_004	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
SP_005	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	3	3	3	3	2	3	2	2	2	2	2	3	3	3	2	3	2	3	2	3	3	2	2	3	2	3
SP_012	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
SP_013	2	2	2	2	2	2	2	3	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
SP_014	3	3	3	2	3	3	2	2	3	2	3	2	2	2	2	2	2	2	3	2	2	3	2	2	2	3	3	3	3	3	3	2	3	3	3	2	2	2	3	2	3	3	2	2	2	2	2	2	3
SP_016	3	3	3	2	3	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
SP_019	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
