file_name	model	TI_categories	replicate	likelihood	lik_L_51-13	lik_L_13-12	lik_L_12-10	lik_L_10-0	lik_M_51-13	lik_M_13-11	lik_M_11-0
Fix_1_1_TOC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-381.778	-44.717	-84.908	-67.23	-120.568	-1.695	-30.898	-31.761
Fix_1_1_TOCabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-376.346	-43.973	-81.016	-67.585	-118.79	-1.662	-31.268	-32.052
Fix_1_2_ArbPol_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-373.362	-34.429	-89.72	-62.971	-123.597	-3.178	-30.286	-29.182
Fix_1_2_ArbPolabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-371.584	-34.079	-89.462	-62.796	-123.716	-3.254	-29.867	-28.41
Fix_1_2_Ca_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-366.822	-34.098	-83.786	-62.477	-123.315	-3.065	-29.918	-30.164
Fix_1_2_Caabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-368.477	-33.939	-87.073	-61.486	-122.838	-2.511	-31.149	-29.482
Fix_1_2_DD_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-364.56	-35.352	-80.428	-61.439	-122.853	-4.214	-30.561	-29.713
Fix_1_2_DecOaks_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-365.583	-34.117	-84.805	-61.836	-123.668	-2.701	-29.88	-28.576
Fix_1_2_DecOaksabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-361.24	-34.066	-76.642	-63.466	-126.103	-2.533	-29.87	-28.56
Fix_1_2_Grainsize_0_s_13.66_12.46_10.48_13.66_11.95constSp_constEx_HP	NA	10	0	-372.745	-32.967	-88.892	-62.554	-123.591	-4.026	-30.239	-30.476
