"clade"	"species"	"ts"	"te"
0	1	14.511995997999	13.0996345070447
0	2	11.340040972122	11.0825112715189
0	3	10.7210477801592	0
0	4	13.4469107931111	0
0	5	14.6802501250625	0
0	6	13.9650025012506	0
0	7	12.7238168449117	0
0	8	12.5035404406941	0
0	9	14.4268634317159	0
0	10	13.5109606437969	0
0	11	6.39276737976313	0
0	12	14.8035917958979	0
0	13	14.0715857928964	0
0	14	14.8907353676838	0
0	15	11.3516532765404	0
0	16	6.01258579581146	0
0	17	4.18774903237809	0
0	18	7.94919935831148	0
0	19	14.8833616808404	0
0	20	4.56662462427585	0
0	21	10.7533897331627	7.28749359217263
0	22	13.5890194248548	13.3974378359044
0	23	11.8937545093188	0
0	24	13.0018858200538	0
0	25	14.6353376688344	0
0	26	12.1677124327318	0
0	27	13.2724489684778	0
0	28	13.6163825716595	0
0	29	14.2713456728364	0
0	30	13.5707076239326	0
0	31	10.8719740191336	0
0	32	11.5581972106896	0
0	33	13.6069963612739	0
0	34	14.33971985993	0
0	35	4.8370207808031	0
0	36	12.9349187368184	1.58966338093029
0	37	13.7592096048024	4.32820357172765
0	38	6.54150370111714	0
0	39	13.7565282641321	2.07386518639622
0	40	14.2867633816908	5.98889330707388
0	41	14.455687843922	4.79021466916317
0	42	13.8778589294647	0
0	43	7.41115165052774	0.0197329038170025
0	44	13.792056028014	10.4030148262687
0	45	14.7097448724362	0
0	46	6.31820777142814	0
0	47	14.7466133066533	0
0	48	14.6547773886943	0
0	49	13.4890633539052	0
0	50	14.5455127563782	0
0	51	14.1607403701851	0
0	52	13.6150206143259	0
0	53	13.6009912993265	0
0	54	12.2832272371438	10.8315046282531
0	55	14.0092446223112	13.4957782459978
0	56	14.9202301150575	0
0	57	10.0954909786842	1.68541850581833
0	58	6.71468855155124	0
0	59	11.0202771042274	0
0	60	13.6426433146665	0
0	61	11.9040087083416	0
0	62	13.3853367863283	0
0	63	14.0280140070035	0
0	64	13.2624505237465	12.7328646160801
0	65	10.3793630551549	0
0	66	13.1852702793889	0
0	67	14.4576988494247	0
0	68	14.9262631315658	0
0	69	13.480465733535	0
0	70	12.2209350964086	0
0	71	13.5277328229385	0
0	72	11.988076738408	0
0	73	12.6025240148608	5.69570603675582
0	74	7.69821061923812	0
0	75	2.55787250329118	0
0	76	9.13436978021337	0
0	77	14.8572186093047	0
0	78	14.7204702351176	0
0	79	14.5481940970485	0
0	80	13.537986909831	12.8154731138585
0	81	13.3700480261222	0
0	82	13.891935967984	0
0	83	13.5317979607559	0
0	84	14.3899949974987	0
0	85	12.8483700289988	0
0	86	14.9007903951976	0
0	87	14.7352176088044	0
0	88	12.1466622296828	0
0	89	13.7297148574287	0
0	90	10.4453872229515	2.52823767392554
0	91	12.834855613067	0
0	92	2.91673264524841	0
0	93	2.19164240333399	0
0	94	14.9819009504752	13.1205135439735
0	95	13.1182539829577	0
0	96	6.72411192933117	0
0	97	11.6959753226226	0
0	98	12.3905072946589	0
0	99	14.5736668334167	0
0	100	13.471388735201	0
0	101	14.4067533766883	0
0	102	14.5515457728864	0
0	103	13.8550675337669	13.3847574291634
0	104	13.8825512756378	10.9163580738495
0	105	13.8141770885443	0
0	106	13.1819552020012	0
0	107	13.5444747962561	0
0	108	12.7688842431957	0
0	109	9.7582071842475	0
0	110	14.8270535267634	0.0611494458661175
0	111	14.8927463731866	12.610249940436
0	112	14.9148674337169	9.38061277525741
0	113	13.0053194997949	0
0	114	14.3853026513257	0
0	115	12.4005263188657	0
0	116	3.68441538927549	0
0	117	13.2028989515722	0
0	118	13.1872381059674	0
0	119	13.7786493246623	0
0	120	13.1541366235766	0
0	121	13.8926063031516	0
0	122	14.6648324162081	0
0	123	4.47500083043112	0
0	124	14.204312156078	0
0	125	13.617795271279	0
0	126	12.7519285388218	0
0	127	13.6426386588782	0
0	128	14.452336168084	0
0	129	14.5260730365183	0
0	130	13.8543971985993	0
0	131	8.34643059359004	0
0	132	14.2941370685343	0
0	133	13.8208804402201	0
0	134	14.6514257128564	0
0	135	14.0467833916958	0
0	136	14.816328164082	4.68818407102568
0	137	10.5462862143014	6.0559979474228
0	138	14.0045522761381	0.616874815885214
0	139	12.6631546317299	11.7423288666029
0	140	13.6257910756394	0
0	141	11.7064685210295	0
0	142	12.8848408885261	0
0	143	13.2900961633744	12.0161970151133
0	144	13.0160972938397	0
0	145	14.5837218609305	0
0	146	13.5553564432689	11.6043226534155
