it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
50000	-459.98867260465772	-27.317693112123749	-432.67097949253395	4	3	3.5451695736070272	14.990615307653799	0.0	1576.0191263298757
52500	-461.87865008996823	-27.602501250641229	-434.27614883932699	4	3	2.5466114572467413	14.990615307653799	0.0	1576.0191263298757
55000	-457.44641577718716	-27.409224721802669	-430.03719105538448	4	3	2.533972629407432	14.990615307653799	0.0	1576.0191263298757
57500	-459.10293943602238	-31.104964736776409	-427.99797469924596	4	4	2.8382270805288696	14.990615307653799	0.0	1576.0191263298757
60000	-457.17598737099422	-32.225180030095551	-424.95080734089868	4	4	1.9145390345319342	14.990615307653799	0.0	1576.0191263298757
62500	-456.7857939442265	-30.443989553373488	-426.34180439085299	4	4	4.446409442073504	14.990615307653799	0.0	1576.0191263298757
65000	-461.03421793290079	-33.296821726289039	-427.73739620661178	4	4	1.498767895436945	14.990615307653799	0.0	1576.0191263298757
67500	-456.37080578731457	-30.363240595318882	-426.0075651919957	4	4	3.773995500147399	14.990615307653799	0.0	1576.0191263298757
70000	-460.13801066003219	-30.540978688846632	-429.59703197118557	4	4	3.4718570011772165	14.990615307653799	0.0	1576.0191263298757
72500	-457.33588248323144	-30.116356130351281	-427.21952635288017	4	4	3.3038847427636444	14.990615307653799	0.0	1576.0191263298757
75000	-462.72339796890526	-30.483333682478648	-432.24006428642662	4	4	4.064187694940442	14.990615307653799	0.0	1576.0191263298757
77500	-460.94603348278537	-30.772868880502461	-430.1731646022829	4	4	3.2718432069558654	14.990615307653799	0.0	1576.0191263298757
80000	-457.0893324528472	-30.568164327430729	-426.52116812541647	4	4	2.6687569527206496	14.990615307653799	0.0	1576.0191263298757
82500	-462.90281911305976	-27.290649051861781	-435.61217006119796	4	3	2.7774113721561795	14.990615307653799	0.0	1576.0191263298757
85000	-460.89441673832584	-27.569550418183422	-433.32486632014241	4	3	2.54664353084038	14.990615307653799	0.0	1576.0191263298757
87500	-458.18131258712657	-27.370075636597527	-430.81123695052906	4	3	4.065704485632734	14.990615307653799	0.0	1576.0191263298757
90000	-459.49843050847966	-27.273825644512844	-432.22460486396682	4	3	3.4902414246483833	14.990615307653799	0.0	1576.0191263298757
92500	-458.36954824449327	-27.232007487056304	-431.13754075743697	4	3	3.3728336824670535	14.990615307653799	0.0	1576.0191263298757
95000	-458.89830771256015	-28.365332816023145	-430.53297489653698	4	3	1.9079599241946883	14.990615307653799	0.0	1576.0191263298757
97500	-464.08295717537356	-30.740224435095126	-433.34273274027845	4	3	1.0570976512504817	14.990615307653799	0.0	1576.0191263298757
100000	-466.96983593424511	-28.368898791498953	-438.60093714274615	4	3	2.0257561516108327	14.990615307653799	0.0	1576.0191263298757
102500	-466.64135400805873	-28.44509530067085	-438.19625870738787	4	3	5.996236578419784	14.990615307653799	0.0	1576.0191263298757
105000	-457.56336358082785	-28.457834938241295	-429.10552864258653	4	3	1.8503993453075804	14.990615307653799	0.0	1576.0191263298757
107500	-460.93046276592827	-27.487624591593978	-433.44283817433427	4	3	2.7830471984721923	14.990615307653799	0.0	1576.0191263298757
110000	-461.81001509747932	-27.798016569481348	-434.011998527998	4	3	3.006206340033371	14.990615307653799	0.0	1576.0191263298757
112500	-465.0422036435171	-31.088969990794805	-433.9532336527223	5	3	3.1231351341154907	14.990615307653799	0.0	1576.0191263298757
115000	-463.33253527287729	-28.04666697064944	-435.28586830222787	4	3	2.183724584786155	14.990615307653799	0.0	1576.0191263298757
