it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
50000	-473.53353722051247	-27.285885770249045	-446.24765145026345	4	3	3.08806925031116	14.993966983491701	0.0	1587.411860981415
52500	-468.68317894731177	-27.454397011985389	-441.22878193532637	4	3	2.686374285272855	14.993966983491701	0.0	1587.411860981415
55000	-473.14163271124733	-30.23943753874417	-442.90219517250318	5	3	4.42348993410726	14.993966983491701	0.0	1587.411860981415
57500	-467.92882451727985	-31.031656762142376	-436.89716775513745	5	3	3.191468822942028	14.993966983491701	0.0	1587.411860981415
60000	-472.6028526426249	-28.167062745594841	-444.43578989703008	4	3	1.936653296903015	14.993966983491701	0.0	1587.411860981415
62500	-467.62922980503566	-32.306479431929169	-435.32275037310649	5	3	2.111291460662715	14.993966983491701	0.0	1587.411860981415
65000	-473.98308169952998	-27.48944059618454	-446.49364110334545	4	3	4.452022249132234	14.993966983491701	0.0	1587.411860981415
67500	-469.75254087550462	-31.052946517755736	-438.69959435774888	5	3	2.4859729058021536	14.993966983491701	0.0	1587.411860981415
70000	-470.02512495268769	-27.337668207373138	-442.68745674531453	4	3	2.5901814079368912	14.993966983491701	0.0	1587.411860981415
72500	-474.02274026812654	-30.369101242897251	-443.65363902522927	5	3	3.5869600666019896	14.993966983491701	0.0	1587.411860981415
75000	-468.68635622847671	-27.106091371610905	-441.58026485686582	4	3	3.4967729564309544	14.993966983491701	0.0	1587.411860981415
77500	-467.96385219269803	-27.719916021918131	-440.24393617077988	4	3	2.3216762381478118	14.993966983491701	0.0	1587.411860981415
80000	-474.36980921348044	-32.639359876466372	-441.73044933701408	5	3	7.373579965314535	14.993966983491701	0.0	1587.411860981415
82500	-471.18269593589844	-27.417618545816701	-443.76507739008173	4	3	2.7722557983027714	14.993966983491701	0.0	1587.411860981415
85000	-471.90443267456209	-30.895679574205928	-441.00875310035616	5	3	4.597568714587424	14.993966983491701	0.0	1587.411860981415
87500	-472.91218587884964	-31.509008454212029	-441.40317742463759	5	3	2.662392008235556	14.993966983491701	0.0	1587.411860981415
90000	-472.92403904591345	-27.63197637702503	-445.29206266888843	5	2	3.342525759131981	14.993966983491701	0.0	1587.411860981415
92500	-467.11156906867507	-27.570131965110239	-439.54143710356482	4	3	3.0072314993195484	14.993966983491701	0.0	1587.411860981415
95000	-465.85661896183149	-27.677316442376693	-438.17930251945478	4	3	3.3260198647731767	14.993966983491701	0.0	1587.411860981415
97500	-469.47627828066356	-27.707711631886479	-441.7685666487771	4	3	2.191976995398808	14.993966983491701	0.0	1587.411860981415
100000	-467.23170359540637	-31.116100229660635	-436.11560336574576	5	3	2.789908354813889	14.993966983491701	0.0	1587.411860981415
102500	-472.90136574702336	-30.442806970912731	-442.45855877611064	5	3	4.614490702086041	14.993966983491701	0.0	1587.411860981415
105000	-473.70690305819488	-27.864054638976281	-445.84284841921863	4	3	2.2501489738893516	14.993966983491701	0.0	1587.411860981415
107500	-470.12224517612231	-28.59765964777144	-441.52458552835088	4	3	1.8250163375379937	14.993966983491701	0.0	1587.411860981415
110000	-472.96735966690341	-30.447406896169515	-442.51995277073388	5	3	3.281980915412517	14.993966983491701	0.0	1587.411860981415
112500	-471.27335450900591	-27.14662592812925	-444.12672858087666	4	3	2.7309423718293564	14.993966983491701	0.0	1587.411860981415
115000	-474.5813898158309	-34.106270610236649	-440.47511920559424	5	3	1.2476893243102372	14.993966983491701	0.0	1587.411860981415
117500	-473.03891971025553	-27.34788320734415	-445.6910365029114	4	3	2.9409726935838525	14.993966983491701	0.0	1587.411860981415
120000	-469.17095779808818	-27.371731627743557	-441.79922617034464	4	3	2.558384563634636	14.993966983491701	0.0	1587.411860981415
122500	-468.10046045558374	-27.088826401660906	-441.01163405392282	4	3	3.112886108873179	14.993966983491701	0.0	1587.411860981415
125000	-473.6061298558007	-28.156430592738392	-445.44969926306231	4	3	2.0140591059825956	14.993966983491701	0.0	1587.411860981415
127500	-470.48198925826415	-30.257214530864463	-440.22477472739968	4	4	1.8635786263984182	14.993966983491701	0.0	1587.411860981415
130000	-478.08771121531834	-30.601407215442471	-447.48630399987587	4	4	4.260749234980949	14.993966983491701	0.0	1587.411860981415
132500	-470.15523902144452	-26.896245756350336	-443.2589932650942	4	3	3.3857839811377826	14.993966983491701	0.0	1587.411860981415
135000	-473.30358219853326	-28.240702049759044	-445.06288014877424	4	3	1.7319641162634123	14.993966983491701	0.0	1587.411860981415
137500	-472.69805621466895	-28.689866850453242	-444.0081893642157	4	3	1.678252655846839	14.993966983491701	0.0	1587.411860981415
140000	-475.08974981780386	-30.943893155420039	-444.14585666238384	5	3	3.166618918602245	14.993966983491701	0.0	1587.411860981415
142500	-468.97186994467091	-30.763535241539518	-438.20833470313141	5	3	3.6698347989540547	14.993966983491701	0.0	1587.411860981415
145000	-467.9221943780679	-30.539395420786192	-437.38279895728169	5	3	4.231398178675592	14.993966983491701	0.0	1587.411860981415
147500	-471.45714411477996	-31.402386566364793	-440.05475754841518	5	3	2.448724441097591	14.993966983491701	0.0	1587.411860981415
150000	-472.66585682519803	-29.1757750937828	-443.49008173141522	4	3	1.5456194483952528	14.993966983491701	0.0	1587.411860981415
152500	-472.93633877576116	-30.834018099569739	-442.10232067619143	5	3	2.9600704636246373	14.993966983491701	0.0	1587.411860981415
155000	-468.59767332677956	-30.823178030744824	-437.77449529603473	5	3	2.7419277915224343	14.993966983491701	0.0	1587.411860981415
157500	-473.45636488769236	-31.877449836004633	-441.57891505168772	5	3	2.3607776122042994	14.993966983491701	0.0	1587.411860981415
160000	-475.17053050475795	-27.130872035902378	-448.03965846885558	4	3	2.638842771077102	14.993966983491701	0.0	1587.411860981415
162500	-473.97233073754643	-27.534351747754855	-446.43797898979159	4	3	2.4601870952878695	14.993966983491701	0.0	1587.411860981415
165000	-476.63474602123483	-28.247988961243141	-448.38675705999168	5	2	2.127181298068347	14.993966983491701	0.0	1587.411860981415
167500	-473.317861193939	-27.422867294468166	-445.89499389947082	4	3	2.866465554860225	14.993966983491701	0.0	1587.411860981415
170000	-469.77043660296664	-27.799839297164166	-441.97059730580247	4	3	4.889829402732728	14.993966983491701	0.0	1587.411860981415
172500	-473.31009346237477	-27.264355998595715	-446.04573746377906	4	3	1.7407246040873163	14.993966983491701	0.0	1587.411860981415
175000	-470.21857657002795	-27.314737404428044	-442.90383916559989	4	3	2.6283195106971426	14.993966983491701	0.0	1587.411860981415
177500	-473.22200048032062	-27.091190292830003	-446.13081018749062	4	3	3.5477564802693853	14.993966983491701	0.0	1587.411860981415
180000	-479.85189877717488	-21.51309541696488	-458.33880336021002	3	2	1.4652742582208895	14.993966983491701	0.0	1587.411860981415
182500	-469.63972450952156	-27.043486338708277	-442.59623817081331	4	3	3.091080356202918	14.993966983491701	0.0	1587.411860981415
185000	-473.78970730804826	-27.177788457234538	-446.61191885081371	4	3	4.208723223032194	14.993966983491701	0.0	1587.411860981415
187500	-473.54915495821751	-24.523066262649785	-449.02608869556775	4	2	2.058732168544116	14.993966983491701	0.0	1587.411860981415
190000	-467.0526805614308	-31.581803639225473	-435.47087692220532	5	3	2.336486237884275	14.993966983491701	0.0	1587.411860981415
192500	-469.79211619205796	-27.465774560854612	-442.32634163120338	4	3	2.782909233944944	14.993966983491701	0.0	1587.411860981415
195000	-470.2638385729	-27.375078305356563	-442.88876026754343	4	3	3.072995628233574	14.993966983491701	0.0	1587.411860981415
197500	-476.09495439234104	-30.425374941216393	-445.66957945112466	5	3	3.646980525453926	14.993966983491701	0.0	1587.411860981415
200000	-471.0334051077686	-27.380829737100452	-443.65257537066816	4	3	3.7270585371588476	14.993966983491701	0.0	1587.411860981415
202500	-474.09826650720026	-28.983476205896839	-445.1147903013034	4	3	1.5631290474910866	14.993966983491701	0.0	1587.411860981415
205000	-471.21128161946865	-27.644856734866199	-443.56642488460244	4	3	4.986183727714739	14.993966983491701	0.0	1587.411860981415
207500	-473.54912424174535	-27.655939851012153	-445.89318439073321	4	3	3.9939374340593288	14.993966983491701	0.0	1587.411860981415
210000	-474.25379689850297	-27.444226152778796	-446.80957074572416	4	3	3.0289629119306025	14.993966983491701	0.0	1587.411860981415
212500	-467.35425897181756	-27.325334913992084	-440.02892405782546	4	3	2.5858719325422665	14.993966983491701	0.0	1587.411860981415
215000	-474.00578157381938	-27.768360635353034	-446.23742093846636	4	3	5.213904971251112	14.993966983491701	0.0	1587.411860981415
217500	-476.16364589580695	-31.536700086509459	-444.62694580929747	5	3	2.5082751368108234	14.993966983491701	0.0	1587.411860981415
220000	-472.85271762131276	-26.848743535519983	-446.00397408579278	4	3	3.0624877436803066	14.993966983491701	0.0	1587.411860981415
222500	-467.69197234674897	-27.259313934680961	-440.43265841206801	4	3	3.9343164666143076	14.993966983491701	0.0	1587.411860981415
225000	-467.98670288888871	-28.227521674746654	-439.75918121414207	4	3	2.07318508711706	14.993966983491701	0.0	1587.411860981415
227500	-471.12390502956271	-27.359201769167747	-443.76470326039498	4	3	2.468945889512556	14.993966983491701	0.0	1587.411860981415
230000	-467.63596013002399	-27.292573444669507	-440.34338668535446	4	3	2.5013438833919306	14.993966983491701	0.0	1587.411860981415
232500	-473.29831333506036	-27.627035522484647	-445.67127781257568	4	3	5.436050439348624	14.993966983491701	0.0	1587.411860981415
235000	-476.58049555830445	-27.699804404648393	-448.88069115365607	4	3	2.437973295786234	14.993966983491701	0.0	1587.411860981415
237500	-469.57994175668136	-27.584106913483996	-441.99583484319737	4	3	4.635899393239746	14.993966983491701	0.0	1587.411860981415
240000	-468.75504236435836	-28.547883123420338	-440.20715924093804	4	3	1.7649069389368797	14.993966983491701	0.0	1587.411860981415
242500	-468.7445749740325	-27.496779348984109	-441.24779562504841	4	3	2.9510658028851826	14.993966983491701	0.0	1587.411860981415
245000	-476.15515787753486	-24.893006796782153	-451.26215108075269	4	2	2.9713441362935638	14.993966983491701	0.0	1587.411860981415
247500	-470.14537469773586	-31.676058935418148	-438.46931576231771	4	4	2.1868668739940245	14.993966983491701	0.0	1587.411860981415
250000	-468.92850291523075	-30.919032036360544	-438.00947087887022	5	3	4.4214108050151655	14.993966983491701	0.0	1587.411860981415
252500	-470.49252955312062	-27.107511901446919	-443.38501765167371	4	3	3.7535845929515	14.993966983491701	0.0	1587.411860981415
255000	-473.89976955820208	-27.372882863828448	-446.52688669437362	4	3	4.439851968368073	14.993966983491701	0.0	1587.411860981415
257500	-472.53058974490295	-27.244181738005523	-445.28640800689743	4	3	4.219449122314712	14.993966983491701	0.0	1587.411860981415
260000	-470.68895455265749	-28.759267949339016	-441.92968660331849	4	3	1.5831465518167391	14.993966983491701	0.0	1587.411860981415
262500	-465.93433143115055	-27.302669384319547	-438.63166204683102	4	3	3.1367798796138953	14.993966983491701	0.0	1587.411860981415
265000	-471.30090594907273	-30.955734549806429	-440.34517139926629	5	3	3.480545821992518	14.993966983491701	0.0	1587.411860981415
267500	-470.9124816334176	-27.693178375350985	-443.21930325806659	4	3	2.3218271587901533	14.993966983491701	0.0	1587.411860981415
270000	-473.29591627608983	-27.280264573626962	-446.01565170246289	4	3	3.52595935952188	14.993966983491701	0.0	1587.411860981415
272500	-470.22582750660507	-30.809850777301481	-439.41597672930357	5	3	2.6071463000226553	14.993966983491701	0.0	1587.411860981415
275000	-470.45577880347361	-27.428777586833853	-443.02700121663975	4	3	2.5494565994502434	14.993966983491701	0.0	1587.411860981415
277500	-469.00375583722962	-27.475553996390794	-441.52820184083885	4	3	2.290173227774762	14.993966983491701	0.0	1587.411860981415
280000	-475.54054701029486	-28.103768162905673	-447.43677884738918	4	3	1.9911073022674994	14.993966983491701	0.0	1587.411860981415
282500	-478.40010052039929	-27.227627180636816	-451.17247333976246	4	3	2.702897509021348	14.993966983491701	0.0	1587.411860981415
285000	-470.09976165655758	-27.292851781987821	-442.80690987456973	4	3	2.9389085715682883	14.993966983491701	0.0	1587.411860981415
287500	-466.21866456405633	-27.347698984351965	-438.87096557970438	4	3	3.972425668756879	14.993966983491701	0.0	1587.411860981415
290000	-471.6968945362068	-27.239849450791738	-444.45704508541507	4	3	3.8118015638784	14.993966983491701	0.0	1587.411860981415
292500	-474.70647240075289	-28.535279841444527	-446.17119255930834	4	3	1.6082956847359609	14.993966983491701	0.0	1587.411860981415
295000	-468.2748506422206	-27.629820168506537	-440.64503047371409	4	3	2.237493682380048	14.993966983491701	0.0	1587.411860981415
297500	-474.47312254456858	-24.482037332865666	-449.99108521170291	4	2	2.4501743716269635	14.993966983491701	0.0	1587.411860981415
300000	-475.22751136235729	-30.265167437723335	-444.96234392463396	4	4	1.8290508534464656	14.993966983491701	0.0	1587.411860981415
302500	-469.39337588370489	-30.563614294615835	-438.82976158908906	5	3	4.103250714033247	14.993966983491701	0.0	1587.411860981415
305000	-467.62632531441636	-27.43116082858219	-440.1951644858342	4	3	3.1929676267610922	14.993966983491701	0.0	1587.411860981415
307500	-465.10034887786986	-28.393992370546055	-436.70635650732379	4	3	1.937788883007553	14.993966983491701	0.0	1587.411860981415
310000	-474.12473360453328	-24.499962436249557	-449.6247711682837	4	2	2.506018701605783	14.993966983491701	0.0	1587.411860981415
312500	-471.08271546531699	-27.525550683975982	-443.55716478134099	4	3	4.497610131922564	14.993966983491701	0.0	1587.411860981415
315000	-468.61471640360907	-27.109720689367954	-441.50499571424109	4	3	3.1144739994407145	14.993966983491701	0.0	1587.411860981415
317500	-468.96661298949329	-28.672046431286919	-440.29456655820638	4	3	1.6668704414242284	14.993966983491701	0.0	1587.411860981415
320000	-477.161201919831	-24.625075341621702	-452.53612657820929	4	2	2.216211115058683	14.993966983491701	0.0	1587.411860981415
322500	-469.9577361245677	-30.930967984387003	-439.02676814018071	5	3	2.779208894367122	14.993966983491701	0.0	1587.411860981415
325000	-470.69420316369877	-27.248297423508447	-443.44590574019031	4	3	3.7854713851215127	14.993966983491701	0.0	1587.411860981415
327500	-474.942400427797	-34.029183443427875	-440.91321698436911	5	4	3.3945416440128673	14.993966983491701	0.0	1587.411860981415
330000	-471.23372836454115	-31.277677078298478	-439.95605128624265	5	3	6.0015600253345145	14.993966983491701	0.0	1587.411860981415
332500	-471.13932800889791	-31.996674024403539	-439.14265398449436	4	4	1.9470272192533662	14.993966983491701	0.0	1587.411860981415
335000	-468.94844822160633	-27.350179913142739	-441.59826830846362	4	3	2.764191411127554	14.993966983491701	0.0	1587.411860981415
