it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
50000	-461.33685021118549	-27.833467960242814	-433.50338225094265	4	3	3.6028081679400143	14.977878939469701	0.0	1585.7289952007432
52500	-457.30029550409785	-27.394025321124886	-429.90627018297295	4	3	3.1777697153147213	14.977878939469701	0.0	1585.7289952007432
55000	-466.23536368595234	-28.452703556967911	-437.78266012898445	4	3	1.7917123405480233	14.977878939469701	0.0	1585.7289952007432
57500	-463.80986513136799	-28.626853281335272	-435.1830118500327	4	3	2.1379005664346553	14.977878939469701	0.0	1585.7289952007432
60000	-471.02735218146586	-28.841005003499525	-442.18634717796635	5	2	2.0749497939181962	14.977878939469701	0.0	1585.7289952007432
62500	-466.19184704894997	-25.688577840688829	-440.50326920826114	4	2	1.4374772479936155	14.977878939469701	0.0	1585.7289952007432
65000	-459.4798443058105	-27.13469245868265	-432.34515184712785	4	3	3.6403831214573366	14.977878939469701	0.0	1585.7289952007432
67500	-464.57963105358681	-24.503084802016247	-440.07654625157056	4	2	2.8416021079603073	14.977878939469701	0.0	1585.7289952007432
70000	-457.09268055952771	-27.914820432351547	-429.17786012717619	4	3	2.4819777868707495	14.977878939469701	0.0	1585.7289952007432
72500	-459.31290194560052	-27.526822617765518	-431.78607932783501	4	3	2.871430430111538	14.977878939469701	0.0	1585.7289952007432
75000	-471.97767322595502	-31.926145653572085	-440.05152757238295	6	2	3.2072307133336473	14.977878939469701	0.0	1585.7289952007432
77500	-464.1431853339289	-27.566062608595566	-436.57712272533331	4	3	2.681731889095807	14.977878939469701	0.0	1585.7289952007432
80000	-463.48894945524586	-27.067451925651028	-436.42149752959483	4	3	3.9629741920649106	14.977878939469701	0.0	1585.7289952007432
82500	-463.9947976366185	-28.024522026808867	-435.97027560980962	4	3	2.008285856132283	14.977878939469701	0.0	1585.7289952007432
85000	-463.32169052089563	-24.775402664228487	-438.54628785666716	4	2	3.746252552063229	14.977878939469701	0.0	1585.7289952007432
87500	-461.51534174685543	-27.418109259214873	-434.09723248764055	4	3	2.880501359413789	14.977878939469701	0.0	1585.7289952007432
90000	-462.90877552524853	-30.531938315919291	-432.37683720932921	4	4	3.71346731336112	14.977878939469701	0.0	1585.7289952007432
92500	-458.95107986580939	-30.412976315847381	-428.53810354996199	4	4	3.3588478721928308	14.977878939469701	0.0	1585.7289952007432
