file_name	model	TI_categories	replicate	likelihood	lik_L_51-13	lik_L_13-0	lik_M_51-13	lik_M_13-0
Fix_1_2_Medstackabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-552.396	-33.641	-360.976	-3.733	-154.045
Fix_1_2_Quartz_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-515.538	-33.936	-328.255	-1.809	-151.537
Fix_1_2_Quartzabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-548.536	-33.743	-357.789	-2.786	-154.218
Fix_1_2_TIC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-529.67	-33.692	-340.024	-3.482	-152.471
Fix_1_2_TICabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-534.704	-34.481	-344.296	-1.166	-154.761
Fix_1_2_TOC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-539.346	-33.967	-349.114	-1.665	-154.599
Fix_1_2_TOCabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-514.007	-34.313	-322.787	-1.238	-155.669
Fix_2_1_ArbPol_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-527.985	-39.092	-333.672	-2.613	-152.607
Fix_2_1_ArbPolabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-555.688	-38.77	-360.075	-2.702	-154.141
Fix_2_1_Ca_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-534.708	-38.691	-337.486	-3.292	-155.239
Fix_2_1_Caabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-554.855	-38.698	-359.258	-3.115	-153.784
Fix_2_1_DD_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-494.269	-40.907	-292.363	-3.885	-157.113
Fix_2_1_DecOaks_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-532.733	-39.066	-339.014	-2.913	-151.74
Fix_2_1_DecOaksabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-555.445	-38.951	-358.585	-3.46	-154.449
Fix_2_1_Grainsize_0_s_13.66_13.66constSp_constEx_HP	NA	10	0	-555.677	-38.08	-360.026	-3.592	-153.978
Fix_2_1_Grainsize_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-491.484	-38.776	-302.318	-1.886	-148.505
Fix_2_1_Grainsizeabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-506.329	-39.404	-308.848	-1.703	-156.374
Fix_2_1_Ins41_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-555.754	-38.762	-360.816	-3.262	-152.914
Fix_2_1_Ins41abschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-560.158	-39.341	-361.239	-3.609	-155.969
Fix_2_1_Isotope_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-526.382	-38.836	-331.479	-3.068	-152.999
Fix_2_1_Isotopeabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-557.625	-39.386	-361.284	-2.703	-154.252
Fix_2_1_K_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-539.288	-39.054	-343.071	-3.32	-153.843
Fix_2_1_Kabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-560.034	-38.686	-362.408	-3.22	-155.721
Fix_2_1_LR04_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-544.845	-39.151	-349.876	-3.116	-152.702
Fix_2_1_LR04abschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-555.048	-39.26	-359.384	-3.664	-152.74
Fix_2_1_Medstack_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-564.153	-38.786	-357.492	-4.09	-163.786
Fix_2_1_Medstackabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-555.436	-39.006	-360.672	-3.6	-152.159
Fix_2_1_Quartz_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-519.608	-38.796	-322.693	-2.195	-155.924
Fix_2_1_Quartzabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-553.284	-39.478	-357.653	-2.765	-153.388
Fix_2_1_TIC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-529.987	-39.354	-334.546	-2.878	-153.21
Fix_2_1_TICabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-554.19	-40.319	-357.131	-2.228	-154.512
Fix_2_1_TOC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-546.89	-39.25	-353.796	-2.22	-151.623
Fix_2_1_TOCabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-527.038	-40.013	-330.202	-1.665	-155.157
Fix_2_2_ArbPol_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-520.237	-32.067	-331.888	-2.809	-153.473
Fix_2_2_ArbPolabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-539.621	-32.897	-348.621	-2.851	-155.253
Fix_2_2_Ca_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-527.551	-32.385	-335.945	-3.526	-155.695
Fix_2_2_Caabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-542.396	-32.528	-351.395	-3.193	-155.28
Fix_2_2_DD_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-486.355	-33.131	-290.14	-4.581	-158.503
Fix_2_2_DecOaks_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-524.446	-32.118	-334.604	-2.347	-155.377
Fix_2_2_DecOaksabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-538.247	-32.067	-349.198	-2.942	-154.04
Fix_2_2_Grainsize_0_s_13.66_13.66constSp_constEx_HP	NA	10	0	-539.378	-31.716	-349.038	-3.345	-155.278
Fix_2_2_Grainsize_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-486.275	-32.473	-302.314	-1.882	-149.606
Fix_2_2_Grainsizeabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-510.06	-32.598	-320.841	-1.579	-155.041
Fix_2_2_Ins41_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-541.814	-32.657	-349.37	-3.91	-155.877
Fix_2_2_Ins41abschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-536.806	-32.032	-348.281	-2.983	-153.51
Fix_2_2_Isotope_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-512.589	-31.998	-324.52	-3.137	-152.935
Fix_2_2_Isotopeabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-541.719	-32.359	-351.075	-3.402	-154.884
Fix_2_2_K_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-533.328	-32.374	-342.583	-3.475	-154.897
Fix_2_2_Kabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-538.503	-32.072	-347.143	-3.203	-156.084
Fix_2_2_LR04_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-533.381	-32.243	-343.845	-3.781	-153.512
Fix_2_2_LR04abschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-538.634	-32.252	-348.019	-3.045	-155.318
Fix_2_2_Medstack_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-531.343	-32.344	-343.063	-2.934	-153.001
Fix_2_2_Medstackabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-539.975	-32.269	-350.458	-3.553	-153.694
Fix_2_2_Quartz_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-517.269	-32.323	-327.552	-2.558	-154.836
Fix_2_2_Quartzabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-532.519	-32.047	-344.194	-2.717	-153.561
Fix_2_2_TIC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-525.391	-32.339	-333.402	-3.565	-156.085
Fix_2_2_TICabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-540.512	-32.964	-349.892	-2.165	-155.49
Fix_2_2_TOC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-539.351	-31.899	-349.543	-1.877	-156.03
Fix_2_2_TOCabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-516.636	-31.742	-326.186	-1.772	-156.936
