"Species"	"Status"	"MinT"	"MaxT"	"Trait"
"SP_075"	"extinct"	7.2225545	7.2465545	1
"SP_075"	"extinct"	7.263218	7.287218	1
"SP_075"	"extinct"	7.307902	7.331902	1
"SP_075"	"extinct"	7.352558	7.376558	1
"SP_075"	"extinct"	7.391012	7.415012	1
"SP_075"	"extinct"	7.420696	7.444696	1
"SP_075"	"extinct"	7.4509225	7.4749225	1
"SP_075"	"extinct"	7.4847625	7.5087625	1
"SP_075"	"extinct"	7.5177645	7.5417645	1
"SP_075"	"extinct"	7.549336	7.573336	1
"SP_075"	"extinct"	7.5827915	7.6067915	1
"SP_075"	"extinct"	7.6182035	7.6422035	1
"SP_075"	"extinct"	7.654031	7.678031	1
"SP_075"	"extinct"	7.690044	7.714044	1
"SP_075"	"extinct"	7.732643	7.756643	1
"SP_075"	"extinct"	7.788606	7.812606	1
"SP_075"	"extinct"	7.848715	7.872715	1
"SP_075"	"extinct"	7.897665	7.921665	1
"SP_075"	"extinct"	7.937765	7.961765	1
"SP_075"	"extinct"	7.9904405	8.0144405	1
"SP_075"	"extinct"	8.0432925	8.0672925	1
"SP_075"	"extinct"	8.0969175	8.1209175	1
"SP_075"	"extinct"	8.1413	8.1653	1
"SP_075"	"extinct"	8.1816005	8.2056005	1
"SP_075"	"extinct"	8.217437	8.241437	1
"SP_075"	"extinct"	8.2493785	8.2733785	1
"SP_075"	"extinct"	8.2895225	8.3135225	1
"SP_075"	"extinct"	8.3512035	8.3752035	1
"SP_075"	"extinct"	8.4307915	8.4547915	1
"SP_075"	"extinct"	8.5104325	8.5344325	1
"SP_075"	"extinct"	8.591957	8.615957	1
"SP_075"	"extinct"	8.6694435	8.6934435	1
"SP_075"	"extinct"	8.717032	8.741032	1
"SP_075"	"extinct"	8.7523965	8.7763965	1
"SP_075"	"extinct"	8.795031	8.819031	1
"SP_075"	"extinct"	8.833631	8.857631	1
"SP_075"	"extinct"	8.875826	8.899826	1
"SP_075"	"extinct"	8.9379485	8.9619485	1
"SP_075"	"extinct"	9.014048	9.038048	1
"SP_075"	"extinct"	9.085202	9.109202	1
"SP_075"	"extinct"	9.178874	9.202874	1
"SP_075"	"extinct"	9.214238	9.238238	1
"SP_075"	"extinct"	9.2424295	9.2664295	1
"SP_075"	"extinct"	9.2745645	9.2985645	1
"SP_075"	"extinct"	9.3063775	9.3303775	1
"SP_075"	"extinct"	9.338292	9.362292	1
"SP_075"	"extinct"	9.372111	9.396111	1
"SP_075"	"extinct"	9.403827	9.427827	1
"SP_075"	"extinct"	9.4377595	9.4617595	1
"SP_075"	"extinct"	9.4739765	9.4979765	1
"SP_075"	"extinct"	9.508349	9.532349	1
"SP_075"	"extinct"	9.5454975	9.5694975	1
"SP_075"	"extinct"	9.5829625	9.6069625	1
"SP_075"	"extinct"	9.616904	9.640904	1
"SP_075"	"extinct"	9.645817	9.669817	1
"SP_075"	"extinct"	9.671412	9.695412	1
"SP_075"	"extinct"	9.69662	9.72062	1
"SP_075"	"extinct"	9.7224305	9.7464305	1
"SP_075"	"extinct"	9.74883	9.77283	1
"SP_075"	"extinct"	9.774277	9.798277	1
"SP_075"	"extinct"	9.797072	9.821072	1
"SP_075"	"extinct"	9.8210705	9.8450705	1
"SP_075"	"extinct"	9.8548085	9.8788085	1
"SP_075"	"extinct"	13.22723	13.25123	1
"SP_075"	"extinct"	13.40743	13.43143	1
"SP_075"	"extinct"	13.487235	13.511235	1
"SP_075"	"extinct"	13.57075	13.59475	1
"SP_075"	"extinct"	13.6353201	13.6593201	1
"SP_076"	"extinct"	5.977856	6.001856	1
"SP_076"	"extinct"	6.012342	6.036342	1
"SP_076"	"extinct"	6.0447075	6.0687075	1
"SP_076"	"extinct"	6.0799405	6.1039405	1
"SP_076"	"extinct"	6.110341	6.134341	1
"SP_076"	"extinct"	6.1401215	6.1641215	1
"SP_076"	"extinct"	6.1708375	6.1948375	1
"SP_076"	"extinct"	6.2000705	6.2240705	1
"SP_076"	"extinct"	6.23105	6.25505	1
"SP_076"	"extinct"	6.2615595	6.2855595	1
"SP_076"	"extinct"	6.295531	6.319531	1
"SP_076"	"extinct"	6.335525	6.359525	1
"SP_076"	"extinct"	10.2655	10.2895	1
"SP_076"	"extinct"	10.297785	10.321785	1
"SP_076"	"extinct"	10.330175	10.354175	1
"SP_076"	"extinct"	10.37149	10.39549	1
"SP_076"	"extinct"	10.420405	10.444405	1
"SP_076"	"extinct"	10.471885	10.495885	1
"SP_076"	"extinct"	10.52321	10.54721	1
"SP_076"	"extinct"	10.569325	10.593325	1
"SP_076"	"extinct"	10.606805	10.630805	1
"SP_076"	"extinct"	10.64002	10.66402	1
"SP_076"	"extinct"	10.67327	10.69727	1
"SP_076"	"extinct"	10.709445	10.733445	1
"SP_076"	"extinct"	10.751195	10.775195	1
"SP_077"	"extinct"	4.774172	4.798172	1
"SP_077"	"extinct"	4.802401	4.826401	1
"SP_077"	"extinct"	4.829295	4.853295	1
"SP_077"	"extinct"	4.860209	4.884209	1
"SP_077"	"extinct"	4.892421	4.916421	1
"SP_077"	"extinct"	4.9329415	4.9569415	1
"SP_077"	"extinct"	4.983791	5.007791	1
"SP_077"	"extinct"	5.0438365	5.0678365	1
"SP_077"	"extinct"	5.1122375	5.1362375	1
"SP_077"	"extinct"	5.2024665	5.2264665	1
"SP_077"	"extinct"	5.7258985	5.7498985	1
"SP_077"	"extinct"	5.7551055	5.7791055	1
"SP_077"	"extinct"	5.784153	5.808153	1
"SP_077"	"extinct"	5.93751	5.96151	1
"SP_077"	"extinct"	5.977856	6.001856	1
"SP_077"	"extinct"	6.0447075	6.0687075	1
"SP_077"	"extinct"	6.0799405	6.1039405	1
"SP_077"	"extinct"	6.110341	6.134341	1
"SP_077"	"extinct"	6.1401215	6.1641215	1
"SP_077"	"extinct"	6.1708375	6.1948375	1
