"Species"	"Status"	"MinT"	"MaxT"	"Trait"
"SP_026"	"extant"	12.354165	12.378165	1
"SP_026"	"extant"	12.972775	12.996775	1
"SP_026"	"extant"	13.15912	13.18312	1
"SP_026"	"extant"	13.310015	13.334015	1
"SP_028"	"extant"	12.449385	12.473385	1
"SP_028"	"extant"	12.546925	12.570925	1
"SP_028"	"extant"	13.57075	13.59475	1
"SP_029"	"extant"	0.7168285	0.7408285	1
"SP_029"	"extant"	5.0438365	5.0678365	1
"SP_029"	"extant"	5.977856	6.001856	1
"SP_031"	"extant"	3.376096	3.400096	1
"SP_031"	"extant"	5.902877	5.926877	1
"SP_032"	"extant"	4.0197765	4.0437765	1
"SP_033"	"extant"	7.897665	7.921665	1
"SP_034"	"extant"	3.702994	3.726994	1
"SP_034"	"extant"	4.1632195	4.1872195	1
"SP_034"	"extant"	12.278315	12.302315	1
"SP_034"	"extant"	13.57075	13.59475	1
"SP_034"	"extant"	13.58732	13.61132	1
"SP_035"	"extant"	1.8840765	1.9080765	1
"SP_035"	"extant"	2.4071665	2.4311665	1
"SP_035"	"extant"	4.310262	4.334262	1
"SP_036"	"extinct"	7.391012	7.415012	1
"SP_036"	"extinct"	7.4509225	7.4749225	1
"SP_036"	"extinct"	7.732643	7.756643	1
"SP_036"	"extinct"	7.848715	7.872715	1
"SP_036"	"extinct"	7.897665	7.921665	1
"SP_036"	"extinct"	7.937765	7.961765	1
"SP_036"	"extinct"	8.0432925	8.0672925	1
"SP_036"	"extinct"	8.2493785	8.2733785	1
"SP_036"	"extinct"	9.085202	9.109202	1
"SP_036"	"extinct"	9.7224305	9.7464305	1
"SP_036"	"extinct"	9.774277	9.798277	1
"SP_036"	"extinct"	9.9802635	10.0042635	1
"SP_036"	"extinct"	10.297785	10.321785	1
"SP_036"	"extinct"	10.420405	10.444405	1
"SP_036"	"extinct"	10.709445	10.733445	1
"SP_038"	"extinct"	13.57075	13.59475	1
"SP_044"	"extant"	11.561615	11.585615	1
"SP_045"	"extant"	12.64897	12.67297	1
"SP_045"	"extant"	12.972775	12.996775	1
"SP_046"	"extant"	3.543178	3.567178	1
"SP_046"	"extant"	5.0438365	5.0678365	1
"SP_046"	"extant"	5.3194995	5.3434995	1
"SP_046"	"extant"	6.0447075	6.0687075	1
"SP_046"	"extant"	9.508349	9.532349	1
"SP_046"	"extant"	11.99254	12.01654	1
"SP_046"	"extant"	12.182235	12.206235	1
"SP_046"	"extant"	12.411075	12.435075	1
"SP_046"	"extant"	12.430985	12.454985	1
"SP_046"	"extant"	12.449385	12.473385	1
"SP_046"	"extant"	12.92601	12.95001	1
"SP_046"	"extant"	13.04981	13.07381	1
"SP_046"	"extant"	13.38261	13.40661	1
"SP_046"	"extant"	13.58732	13.61132	1
"SP_047"	"extant"	11.60125	11.62525	1
"SP_048"	"extant"	12.03459	12.05859	1
"SP_048"	"extant"	12.449385	12.473385	1
"SP_051"	"extant"	9.797072	9.821072	1
"SP_051"	"extant"	10.709445	10.733445	1
"SP_051"	"extant"	13.091805	13.115805	1
"SP_052"	"extant"	4.860209	4.884209	1
"SP_052"	"extant"	8.0432925	8.0672925	1
"SP_052"	"extant"	9.508349	9.532349	1
"SP_052"	"extant"	10.16116	10.18516	1
"SP_052"	"extant"	11.915185	11.939185	1
"SP_052"	"extant"	12.03459	12.05859	1
"SP_052"	"extant"	12.466655	12.490655	1
"SP_052"	"extant"	12.48824	12.51224	1
"SP_052"	"extant"	12.86878	12.89278	1
"SP_052"	"extant"	13.15912	13.18312	1
"SP_053"	"extant"	6.0447075	6.0687075	1
"SP_053"	"extant"	6.1708375	6.1948375	1
"SP_053"	"extant"	6.524375	6.548375	1
"SP_053"	"extant"	10.12614	10.15014	1
"SP_053"	"extant"	11.211205	11.235205	1
"SP_053"	"extant"	13.53613	13.56013	1
"SP_055"	"extant"	7.420696	7.444696	1
"SP_055"	"extant"	8.591957	8.615957	1
"SP_055"	"extant"	8.717032	8.741032	1
"SP_055"	"extant"	8.795031	8.819031	1
"SP_055"	"extant"	10.12614	10.15014	1
"SP_055"	"extant"	10.67327	10.69727	1
"SP_056"	"extant"	9.671412	9.695412	1
"SP_056"	"extant"	10.709445	10.733445	1
"SP_057"	"extant"	13.53613	13.56013	1
"SP_060"	"extant"	1.6962795	1.7202795	1
"SP_060"	"extant"	1.9031695	1.9271695	1
"SP_060"	"extant"	1.922274	1.946274	1
"SP_060"	"extant"	1.9430855	1.9670855	1
"SP_060"	"extant"	2.4317275	2.4557275	1
"SP_060"	"extant"	2.516258	2.540258	1
"SP_060"	"extant"	2.5509085	2.5749085	1
"SP_060"	"extant"	2.6582265	2.6822265	1
"SP_060"	"extant"	3.2971875	3.3211875	1
"SP_060"	"extant"	3.3357375	3.3597375	1
