Age	DecOak
267.02	5.51725
268.62	0
270.32	4.3307
271.95	1
273.55	4.33071
275.13	2.88066
276.52	1.78571
277.89	1.40845
279.29	1.07527
280.72	0.738007
282.11	3.62903
283.46	1.70068
285	4.71976
286.72	5.92335
288.44	33.8871
290.13	58.1081
291.72	47.4801
293.23	33.4559
294.74	17.1014
296.25	17.9487
297.64	31.1111
298.88	52.0548
300.04	14.375
301.2	0
302.36	11.8919
303.58	29.8611
304.79	34.4828
306.11	16.312
307.43	12.8571
308.76	27.4854
310.04	5.9761
311.22	35.8974
312.36	38.0711
313.56	46.332
314.76	57.9861
316	54.1199
317.25	39.5105
318.73	23.7864
320.23	12.9032
321.8	18.75
323.37	31.5151
325.21	33.1429
327.02	54.7469
328.97	36.9319
330.92	35.6757
332.84	25.9741
334.77	14.2857
336.79	16.3522
338.81	18
341	9.44882
343.18	6.80851
345.29	1.53061
347.4	8.96552
349.39	12.1213
351.38	16.3462
353.44	6.43776
355.52	12
357.67	33.0144
359.86	10.6383
362	6.89655
364.13	6.95652
365.86	5.77777
367.46	1.22699
369.4	2.94117
371.5	4.24837
373.97	15.7377
376.64	3.1348
379.79	8.1571
383.21	3.28947
386.35	20.5211
389.35	10.1156
391.9	6.73077
394.09	2.64901
395.78	17.9153
397.07	18.2411
398.46	30.6306
399.97	42.4623
401.54	10.231
403.18	35.4037
405.02	37.0656
407.19	17.1253
409.05	27.3312
410.54	35.0819
412.21	30.2941
414.16	44
415.97	50
417.52	46.0064
419.21	45.8689
421.21	38.3481
423.11	32.899
424.79	60.3278
426.56	19.3846
428.5	2.31023
430.43	0
432.23	0.606061
434.37	0
437.89	0
441.3	0.292398
444.15	6.47249
446.99	3.31126
449.44	2.23642
451.92	1.91257
454.64	1.63935
457.29	16.2251
459.05	31.1728
460.78	4.9505
462.46	9.45273
464.15	13.2701
466.15	23.5577
468.18	11.7647
469.78	13.0045
471.37	15.2672
472.74	6.10328
474.11	11.0553
475.59	38.2489
477.06	13.7931
478.62	11.5385
480.18	23.3831
481.44	19.4312
482.66	10.5
484.13	17.7778
485.67	42.7027
487.22	45.6731
488.76	48.5149
490.44	54.4601
492.2	42.5415
494.49	16.3399
497.02	16.8605
499.58	24.7368
502.18	23.1156
505.58	42.3488
509.43	53.3597
512.42	55.5556
514.94	44.0678
517.18	34.6154
519.25	25.1852
521.45	25.3012
523.78	28
526.13	29.4606
528.52	37.5546
530.41	36.1702
531.85	49.2147
533.15	47.9167
534.3	34.9206
535.47	3.16206
536.69	36.7742
538.41	4.92611
540.85	23.6842
543.1	30.581
545.1	36.4217
547.16	16.7183
549.33	34.5277
551.43	28.9474
553.52	34.1463
555.55	23.301
557.44	20.8333
559.29	46.0905
561.07	24.6777
562.73	23.2365
564.1	52.6863
565.43	25.1816
566.75	15.1515
568.05	10.0917
569.44	40.2597
570.84	33.6134
572.31	35.7895
573.79	37.4165
575.25	56.3559
576.71	41.3483
578.17	63.1579
579.62	68.5714
580.92	63.7749
582.22	51.2048
583.58	36.2712
584.96	17.5047
586.69	22.8013
588.43	50
589.98	58.7699
591.49	59.3361
593.22	30.5296
594.95	26.0586
596.95	46.7492
598.99	11.2179
600.73	54.1667
602.43	28.7129
604.03	26.8437
605.67	51.2903
607.43	50.2994
609.19	54.2274
610.74	47.0219
612.23	27.957
613.72	18.3099
615.21	15.3846
616.74	26.4706
618.28	47.2727
619.76	49.8282
621.21	39.0909
622.72	20.1835
624.31	11.1969
625.84	15.3285
627.36	7.14286
629.02	6.89655
630.75	2.13904
632.68	12.0482
634.75	10.9453
636.59	10.1604
638.21	16
640.08	3.80623
642.25	7.14286
644.34	4.84581
646.36	2.92887
648.36	1.66113
650.34	5.94059
652.13	8.83978
653.64	3.14342
655.47	4.32277
657.84	5.45455
660.25	13.4021
662.77	6.33484
665.21	5.33808
667.45	3.40909
669.67	29.1429
671.86	19.7183
674.02	16.8675
676.02	16.8675
678.7	4.23729
684.69	16.4835
689.83	21.4286
694.19	48.951
698.13	37.5566
700.62	24.1026
703.15	34.7826
705.98	16.1491
708.83	27.2727
711.8	14.5833
714.84	5.41176
718.34	4.814
721.68	3.75
723.46	1.84332
725.26	5.42169
727.52	5.6
729.77	1.35135
731.99	11.6959
734.23	23.7288
736.46	25.5319
738.69	2.32558
740.3	2.2508
741.87	3.18182
743.27	15.4176
744.67	3.85852
746.29	5.72519
747.93	5.51724
749.68	18
751.44	0
752.98	11.1538
754.51	11.4391
756.13	15.3846
757.77	4.16667
