SampleNo	Depth	Age	VERY_COARSE_SAND	COARSE_SAND	MEDIUM_SAND	FINE_SAND	VERY_FINE_SAND	VERY_COARSE_SILT	COARSE_SILT	MEDIUM_SILT	FINE_SILT	VERY_FINE_SILT	CLAY
1	0.97	1.5789	0	0	0	0	3.1401864437e-06	0.0154115634468452	0.0560496818983861	0.179650302530408	0.282748910871457	0.2164416897343	0.249694711332159
5	1.61	3.5675	0	0	0.0050913594716471	0.0197834188383478	0.0233375973020726	0.0640417516474699	0.102630632164503	0.190937511652234	0.232820043611448	0.164450837197951	0.196906848114326
9	2.25	6.54905	0	0	4.04796870599e-05	0.005218060425514	0.0173608490667468	0.0438711688332198	0.100285378450076	0.212831347811023	0.250479847328232	0.172085301547404	0.197827566850725
13	2.89	8.82445	0	0	0	7.84534515053e-05	0.02997351502884	0.109533950417896	0.149787507907532	0.208799722723253	0.204936929588242	0.136204845351906	0.160685075530826
17	3.49	10.1778	0	0	4.52035956829e-05	0.0019025166460097	0.0096422011806897	0.0504995153048169	0.120875393153956	0.215101860342273	0.238792351648506	0.165350334657525	0.197790623470541
21	4.13	11.8927	0	0	0.0001627834697543	0.0034576238103585	0.0128430888152932	0.0644065807439793	0.136396700621879	0.213572444271096	0.224963263292995	0.155534727705466	0.188662787269178
25	4.79	14.1485	0	0	0.0002309708006911	0.0034030575910067	0.0135894100508838	0.0718267823697131	0.145618476172427	0.214116830671657	0.218066115148103	0.14919916743038	0.183949189765139
29	5.43	15.8294	0	0	4.6057198107e-06	0.0031925880736487	0.0173717567331343	0.088645845105744	0.16504912309964	0.219952176468356	0.206333883917379	0.137120499315617	0.16232952156667
33	6.07	16.63055	0	0	0.0003512404993336	0.0067834116178075	0.0174967908675557	0.0672907803037562	0.143773167792856	0.226659912850417	0.224456992001732	0.145313877494562	0.16787382657198
37	6.71	17.5244	0	0	0.0001044715061379	0.0060442768382457	0.0130539861665506	0.0473290194835089	0.109309652845479	0.208592582174834	0.246564684836528	0.171308089961208	0.197693236187509
41	7.35	18.6	0	0	0.0004711954406236	0.0065057460207886	0.0180736581683	0.0681955273151024	0.146642942614164	0.227940068739612	0.223229076976217	0.143246619092523	0.165695165632669
45	7.97	19.84275	0	0	0.0015945997512826	0.0068847437343293	0.0167125971136707	0.0623501660801422	0.138239870861627	0.225930013085046	0.228715889930006	0.147754223847654	0.171817895596243
49	8.61	21.7145	0	0	0.0003475708859697	0.0060447029027767	0.0115683687640505	0.0518560076158054	0.12076682630175	0.215304343560826	0.23834460061204	0.163595919310372	0.19217166004641
53	9.23	23.48575	0	0	0.0002892601347396	0.0066247248894439	0.0140345130083068	0.0486279906567138	0.108246972883992	0.206574843456374	0.247366776992636	0.171617526032321	0.196617391945473
57	9.87	25.1749	0	0	0.0007920975231187	0.0052079428125926	0.0189359277641352	0.0705023806050296	0.146867331359809	0.228777151012542	0.222004365174765	0.142448501111846	0.164464302636162
61	10.51	26.8357	0	0	0.0005089775718992	0.0058060445461052	0.0169414916956776	0.0713365612756709	0.151213688564514	0.22537734554269	0.218598986097939	0.141395395125903	0.168821509579601
65	11.15	28.2461	0	0	6.4973484693e-06	0.0025149537062926	0.0095691838059262	0.0528436216614647	0.13193258188924	0.2277304968889	0.237942564711429	0.157412128025155	0.180047971963123
69	11.79	29.59315	0	0	0.0002384185493673	0.0066106404836987	0.0185331512851007	0.0680784785048031	0.140795312989203	0.219776930446392	0.223468758407123	0.147749515566373	0.174748793767939
73	12.43	30.5021	0	0	0.0009543115248237	0.007651592315692	0.0172911652696016	0.06789817516421	0.143756160464827	0.222149501784867	0.2214869440287	0.145410763270645	0.173401386176634
77	13.07	31.4786	0	0	0.0009425959608007	0.0083750983397461	0.0129267628268893	0.0479144448033214	0.113299259003071	0.214526205618575	0.244579562795399	0.165873505536246	0.191562565115951
81	13.71	33.00755	0	0	0.0002931884062064	0.0059223629295084	0.0099044868161356	0.0459063812059745	0.116540727462423	0.22201522477375	0.246556749798293	0.165280548619679	0.187580329988029
85	14.35	34.55765	0	0	6.54663186707e-05	0.0026042347763715	0.0095552050438545	0.0615508108479843	0.14102205093072	0.224355400985307	0.227298624593456	0.150935651288474	0.182612555215162
89	14.99	36.4615	0	0	9.98407478456e-05	0.004269858668832	0.0154659120913339	0.072185486324622	0.15215884897188	0.223056402157455	0.216744217186675	0.143028691273475	0.172990742577881
93	15.63	38.32235	0	0	0.0001959019586095	0.0047488209506893	0.0140563213313697	0.0681085447535576	0.147563211446765	0.225241509278964	0.221732641178144	0.144884049717373	0.173468999384529
97	16.27	39.2524	0	0	0.0009366069897245	0.0078790408037218	0.0183667342126938	0.0596694200461465	0.125448676287968	0.216161760584054	0.232743823330507	0.155659527876613	0.183134409868571
101	17.07	40.21455	0	0	0.0002091353721378	0.0026306694058252	0.0081317300222688	0.0394804527676935	0.103012657259977	0.211493981333746	0.254380859249434	0.1764746704418	0.204185844147117
105	17.71	41.5375	0	2.593083169e-07	0.0036338911422402	0.011695628796946	0.021440078738598	0.0703366920453474	0.14525687536584	0.221739521914274	0.217116408031721	0.141353011556137	0.16742763310058
109	18.35	42.8593	0	0	0.006169791010303	0.0190471765854312	0.0207248110297701	0.055352068757215	0.115290681216618	0.206585698558346	0.232438107725839	0.158948789975003	0.185442875141475
113	18.99	44.4464	0	0	9.85153953546e-05	0.0041220537458634	0.0110195462369234	0.0513505347353136	0.126641798109015	0.223975315189575	0.239287955475905	0.159822081497569	0.183682199614481
117	19.63	46.0366	0	0	0.0003385610905897	0.0085737766100006	0.0180800617435097	0.0632342806172668	0.131796571863214	0.216557100679461	0.228068622450717	0.153205828728152	0.180145196217089
121	20.27	47.649	0	0	0.0003997081931087	0.0065763426616539	0.0163901778718548	0.0686710989647607	0.143498155990393	0.219536281476529	0.220508892544971	0.146973150879899	0.177446191416829
125	20.91	49.24135	0	0	1.01173180237e-05	0.003366788605276	0.0096976649323715	0.0494689986132712	0.124194678855626	0.21988613324219	0.238994843309004	0.162101276817779	0.192279498306458
129	21.55	51.29545	0	0	0.0001774511291242	0.0040799788355772	0.0096582794736208	0.0498277602736163	0.12126690795156	0.22032065094832	0.242221497913657	0.164021538603941	0.188425934870585
133	22.19	53.38915	0	0	0.0003601760909218	0.0035072955874889	0.0110307164455265	0.0499226739317214	0.119125650418398	0.213792509085059	0.239583465241307	0.165011988839223	0.197665524360354
137	22.83	55.24255	0	0	7.48051790661e-05	0.0037757342347945	0.0114011402941159	0.0660034399675841	0.150144868061898	0.224081439225274	0.220996462281602	0.146936999265468	0.176585111490196
141	23.47	57.08635	0	0	0.0002519093244979	0.0031519739842756	0.0086583467548658	0.0522957067085694	0.130176321647272	0.222057482593646	0.235468256665071	0.159421013098497	0.188518989223305
145	24.11	59.1252	0	0	0.0005739026977297	0.0044616846812009	0.0164961166515999	0.0783734307614425	0.153454087545341	0.218414505249907	0.213829620835087	0.143376841280073	0.171019810297619
149	24.75	61.20335	0	0	9.40302551201e-05	0.0020312355833249	0.0083720231742762	0.0449960907973847	0.109847401430944	0.209032830686724	0.247575724885423	0.174698572788702	0.203352090398101
153	25.39	62.7759	0	0	0.0002101860670727	0.0035640535720606	0.0120990200767564	0.0643064167675888	0.148912994867613	0.226059980366924	0.221350185270344	0.147006285512727	0.176490877498913
157	26.03	64.2965	0	0	0.0004399744398572	0.0091081357568069	0.0224988098751568	0.0736294853060454	0.145413765683894	0.216180345635282	0.216145223212519	0.145249418331144	0.171334841759296
161	26.67	66.0044	0	0	0.0004627858741181	0.0051334846423429	0.0124711171419227	0.0506143708677431	0.1177587254784	0.215716568734407	0.242781603661445	0.165598082135268	0.189463261464353
165	27.31	67.76515	0	0	0.0006256658655874	0.0052190665668858	0.0144360241937074	0.0581556338224058	0.134024338418587	0.227966251249299	0.232625257404013	0.151732142530014	0.175215619949501
169	27.95	69.46685	0	0	0.000891466379826	0.0090261013354012	0.0177504885996723	0.054444531387964	0.119599330080955	0.214148220240726	0.234216056571794	0.159208849950584	0.190714955453077
173	28.59	71.18815	0	0	0.0008974969222152	0.008890503877274	0.0151859037364469	0.0540883656227491	0.120382552496545	0.211915080839958	0.235288764271882	0.161623711666944	0.191727620565986
177	29.23	72.88285	0	0	7.80572691794e-05	0.0039523736302491	0.0113629776739923	0.0576272951057961	0.131150795925168	0.217798409051303	0.231193554687751	0.156809143880587	0.190027392775975
181	29.87	74.5871	0	0	8.71907783805e-05	0.0034992513805731	0.0090009677073276	0.0548526733892516	0.126179081235176	0.216889014368218	0.235147733556543	0.161168874742421	0.193175212842108
185	30.51	76.20125	0	0	0.0001114036193865	0.0042229208511005	0.0118437159942014	0.054151268523545	0.122873993849032	0.212985652261859	0.232580476671853	0.161724837449608	0.199505730779414
189	31.15	77.79	0	0	4.12118214071e-05	0.0046544816029548	0.0190943846438515	0.0738403361325489	0.137379944686449	0.20832948086805	0.220281973954051	0.151514222531184	0.184863963759504
193	31.79	79.196	0	0	0	1.7546562351e-05	0.0098007830595723	0.0507499040774172	0.119890405137478	0.215984220385161	0.239764028299268	0.165616520082673	0.19817659239608
197	32.43	80.54485	0	0	3.09709897399e-05	0.0028753393471435	0.0133307614431537	0.0567607461509489	0.125382266009166	0.216882644402142	0.23493387362428	0.159928248675861	0.189875149357565
