Age	TIC
1.5789	3.294481312
1.8388	5.347863203
2.0987	5.747195655
2.8221	4.512583007
3.5675	6.043331402
4.31285	6.811103498
5.05815	7.096596817
5.80375	4.555026977
6.54905	4.937984685
7.2946	4.474668
8.0397	1.546355407
8.4637	0.576504636
8.82445	0.156636915
9.18375	0.129655059
9.54475	0.132044882
9.8618	1.033478533
10.1778	0.0604644
10.53835	1.206170033
10.9004	1.388128106
11.34705	1.540058326
11.8927	0.035703518
12.4375	0.042128326
13.0517	0.055894967
13.5983	0.07035413
14.1485	0.07845902
14.69385	0.084835313
15.2415	0.040496136
15.62925	0.19733784
15.8294	0.163188274
16.0288	0.092451974
16.2302	0.053380224
16.43065	0.062383541
16.63055	0.133239964
16.8302	0.333005625
17.0312	0.095887591
17.2536	0.106624092
17.5244	0.079553642
17.7941	0.141128821
18.0638	0.160367841
18.33265	0.05007016
18.6	0.138621
18.8653	0.08991532
19.1293	0.111064525
19.3743	0.067993468
19.84275	0.065652186
20.3121	0.0576156
20.7768	0.084575833
21.2466	0.038333329
21.7145	0.075202842
22.12295	0.064520465
22.5894	0.056123163
23.0561	0.110344213
23.48575	0.02674802
23.91145	0.127672371
24.3304	0.123731053
24.7508	0.148484003
25.1749	0.109704634
25.60315	0.105930665
26.03195	0.169662815
26.4608	0.041377412
26.8357	0.058430474
27.18785	0.087331895
27.54175	0.047039805
27.8938	0.070251784
28.2461	0.073259675
28.6006	0.225884398
28.9553	0.13197992
29.31135	0.199928
29.59315	0.24256801
29.82315	0.14212093
30.05065	0.16984901
30.2758	0.074124704
30.5021	0.118489685
30.72745	0.021996904
30.9549	0.04912948
31.1818	0.036286864
31.4786	0.149093044
31.8607	0.261549746
32.2485	0.12284158
32.628	0.054490167
33.00755	0.156901912
33.3889	0.325119676
33.7682	0.126552017
34.1458	0.063673783
34.55765	0.079750119
35.033	0.047694606
35.50805	0.09
35.984	0.244595191
36.4615	0.408356822
36.9426	0.105759468
37.41985	0.063527838
37.89675	0.071104442
38.32235	0.035606843
38.5559	0.058315466
38.78785	0.190612441
39.0205	0.10115449
39.2524	0.962649976
39.48615	0.556860246
39.71885	0.192594095
39.9504	0.061201296
40.21455	0.130201664
40.5473	0.317592407
40.87665	0.067276648
41.206	0.138618759
41.5375	0.78757039
41.8661	0.068073348
42.19505	0.046650804
42.5277	0.179469804
42.8593	0.126042876
43.25815	0.086118183
43.6548	0.057329746
44.04815	0.063359926
44.4464	0.044586673
44.84365	0.108541896
45.24115	0.070264925
45.64015	0.27545992
46.0366	0.540926749
46.44085	0.789609587
46.83995	0.133477333
47.24805	0.059643642
47.649	0.994638995
48.0482	0.138242423
48.43885	0.042567775
48.8416	0.062022433
49.24135	0.164685674
49.73765	0.136493069
50.2533	0.097448113
50.77675	0.092017438
51.29545	0.107149737
51.8217	0.173566106
52.35185	0.172081421
52.87105	0.108217475
53.38915	0.083721098
53.8685	0.054205056
54.3248	0.075494555
54.7786	0.075028036
55.24255	0.058360052
55.7086	0.075229749
56.16105	1.859101827
56.62365	0.083809937
57.08635	0.077594401
57.56985	0.188823117
58.0956	0.283092787
58.60885	0.249692614
59.1252	0.093168231
59.6509	0.0608175
60.1614	0.078217056
60.68425	0.049627723
61.20335	0.177213267
61.66485	0.16935082
62.03465	0.733827635
62.40595	0.066821013
62.7759	0.080585258
63.15475	0.574738408
63.53795	0.105219269
63.9171	0.139794735
64.2965	0.2172
64.68625	0.07078412
65.12165	0.209005452
65.56355	0.67392198
66.0044	0.163907023
66.44165	0.088282285
66.8845	0.099962879
67.3222	0.064440099
67.76515	0.315610033
68.1964	0.022262615
68.61695	0.125827626
69.047	1.005361151
69.46685	0.119964571
69.89355	0.179186318
70.33185	0.4995986
70.7599	0.690315795
71.18815	0.316899453
71.6122	0.519306244
72.0408	0.042939666
72.4648	0.037411827
72.88285	0.035390916
73.31325	0.029363629
