Age	ArborealPollen
175.46	32.5
176.38	28.2051
177.22	26.5957
178.03	19.7917
178.87	16.3842
179.72	30.4569
180.64	37.4302
181.61	25.641
182.63	30.4933
183.69	26.943
184.65	13.369
185.54	41.2607
186.51	80.4813
187.58	70.4762
188.6	32.5779
189.61	48.995
190.57	37.2603
191.52	40.411
192.47	39.0977
193.43	33.7143
194.42	95.9514
195.51	35.809
196.65	33.9181
197.91	51.7857
199.14	34.8837
200.25	70.6422
201.36	70.2206
202.43	68.6636
203.53	58.7699
204.7	32.7674
206.11	89.2116
208.33	86.3226
210.46	84.3648
212.26	74.4966
214.12	76.6355
216.4	75.5027
218.69	44.3763
221.25	34.2707
223.79	45.8333
225.45	36.1111
227.06	60.6061
228.38	20.1031
229.71	69.5833
231.09	38.4956
232.46	15.9341
233.85	64.0777
235.24	73.1959
236.52	76.8489
237.8	64.8148
239.27	85.0242
240.71	84.4367
241.92	26.8908
243.1	21.4521
244.37	21.7799
245.69	16.1654
246.94	34.5638
248.18	0
249.69	35.0694
251.2	27.8195
252.83	32.5088
254.49	21.4612
256.29	25
258.14	26.616
260.07	18.8679
262.03	16.6667
263.76	0
265.41	15.5477
267.02	24.1379
268.62	0
270.32	18.5039
271.95	21
273.55	20.8661
275.13	14.8148
276.52	27.6786
277.89	12.6761
279.29	17.2043
280.72	9.9631
282.11	31.4516
283.46	17.6871
285	41.0029
286.72	37.9791
288.44	77.4086
290.13	83.2432
291.72	77.1883
293.23	45.5882
294.74	33.0435
296.25	31.0897
297.64	54.8148
298.88	83.5616
300.04	43.125
301.2	0
302.36	32.4324
303.58	71.5278
304.79	62.069
306.11	68.7943
307.43	66.4286
308.76	73.0994
310.04	24.7012
311.22	68.5897
312.36	71.5736
313.56	81.8533
314.76	83.6806
316	79.4007
317.25	63.986
318.73	45.1456
320.23	39.5161
321.8	66.5441
323.37	73.9394
325.21	73.7143
327.02	91.4557
328.97	90.3409
330.92	64.8649
332.84	50
334.77	23.0769
336.79	32.7044
338.81	32
341	37.4016
343.18	33.1915
345.29	19.898
347.4	33.1034
349.39	44.9495
351.38	48.5577
353.44	34.3348
355.52	27.1111
357.67	61.244
359.86	38.2979
362	30.6034
364.13	40.8696
365.86	34.2222
367.46	13.1902
369.4	24.1176
371.5	34.3137
373.97	46.5574
376.64	11.2853
379.79	31.1178
383.21	15.1316
386.35	49.5114
389.35	17.6301
391.9	16.3462
394.09	11.9205
395.78	38.4365
397.07	38.1107
398.46	68.4685
399.97	64.8241
401.54	22.4422
403.18	73.2919
405.02	74.1313
407.19	30.581
409.05	66.881
410.54	66.2295
412.21	72.9412
414.16	76.6667
415.97	76.9231
417.52	75.0799
419.21	81.1966
421.21	75.5162
423.11	74.2671
424.79	80.9836
426.56	36.9231
428.5	8.25083
430.43	1.88679
432.23	9.09091
434.37	7.07395
437.89	3.48101
441.3	7.30994
444.15	14.5631
446.99	8.9404
449.44	9.26518
451.92	13.1148
454.64	13.7705
457.29	41.7219
459.05	49.0741
460.78	10.8911
462.46	18.9055
464.15	24.1706
466.15	40.3846
468.18	22.1719
469.78	21.0762
471.37	27.0992
472.74	15.493
474.11	18.0905
475.59	56.2212
477.06	28.0788
478.62	25
480.18	51.2438
481.44	27.0142
482.66	21
484.13	75.5556
485.67	65.4054
487.22	68.75
488.76	71.7822
490.44	82.6291
492.2	85.0829
494.49	93.4641
497.02	80.814
499.58	83.1579
502.18	87.4372
505.58	87.5445
509.43	81.0277
512.42	83.3333
514.94	79.661
517.18	74.0385
519.25	78.5185
521.45	81.9277
523.78	82.6667
526.13	84.6473
528.52	86.0262
530.41	76.5957
531.85	78.534
533.15	65.2778
534.3	50.5669
535.47	8.69565
536.69	54.1935
538.41	12.8079
540.85	36.8421
543.1	57.1865
545.1	57.1885
547.16	33.1269
549.33	53.0945
551.43	44.7368
553.52	46.3415
555.55	41.7476
557.44	34.2593
559.29	72.0165
561.07	42.1731
562.73	33.195
564.1	75.7366
565.43	39.4673
566.75	27.2727
568.05	21.1009
569.44	73.3766
570.84	74.2297
572.31	83.6842
573.79	81.7372
575.25	92.3729
576.71	89.6629
578.17	90.4605
579.62	91.4286
580.92	79.8359
582.22	58.7349
583.58	45.4237
584.96	30.3538
586.69	29.6417
588.43	58.0153
589.98	72.6651
591.49	72.6141
593.22	77.5701
594.95	33.5601
596.95	61.9195
598.99	21.7949
600.73	66.3462
602.43	35.6436
604.03	34.8083
605.67	60.9677
607.43	68.2635
609.19	70.8455
610.74	68.652
612.23	88.172
613.72	83.0986
615.21	85.7988
616.74	79.4118
618.28	78.6364
619.76	67.354
621.21	45
622.72	27.9817
624.31	17.3745
625.84	28.4672
627.36	35.1648
629.02	26.8966
630.75	14.9733
632.68	24.6988
634.75	27.8607
636.59	28.877
638.21	30
640.08	15.2249
642.25	24.2857
644.34	19.3833
646.36	11.7155
648.36	11.6279
650.34	20.297
652.13	19.8895
653.64	10.2161
655.47	12.6801
657.84	18.6364
660.25	27.8351
662.77	20.8145
665.21	13.1673
667.45	12.5
669.67	52.5714
671.86	38.7324
674.02	39.759
676.02	44.5783
678.7	17.7966
684.69	48.3516
689.83	51.7857
694.19	65.7343
698.13	52.4887
700.62	48.2051
703.15	64.6739
705.98	38.5093
708.83	50.5051
711.8	40.625
714.84	16.2353
718.34	15.9737
721.68	21.25
723.46	12.4424
725.26	25.3012
727.52	27.6
729.77	14.8649
731.99	41.5205
734.23	53.775
736.46	47.3404
738.69	17.4419
740.3	92.6045
741.87	18.6364
743.27	45.6103
744.67	18.9711
746.29	35.4962
747.93	20.6897
749.68	40.2857
751.44	89.6414
752.98	20.7692
754.51	29.8893
756.13	41.2587
757.77	17.5926
759.48	50.5155
761.21	20.1102
763.02	60.7261
764.83	61.8729
766.6	14.7208
768.39	74.7748
770.2	59.4366
772.07	83.0303
774.46	67.2779
777.1	82.5967
780.06	76.9352
783.21	69.0722
786.07	77.439
788.8	24.9249
790.97	16.73
792.74	17.8439
794.98	23.5294
797.63	13.9918
800.24	13.6364
802.85	9.13242
805.53	33.0275
808.33	19.7183
810.89	46.9298
813.16	59.5238
815.33	73.3051
817.39	54.3689
819.36	66.6667
821.2	65.974
822.94	30.3371
824.5	75.8454
826.14	76.2712
827.97	81.3187
830.15	26.6667
833.11	80
836.32	28.0423
840.32	82.9457
844.28	71.4976
848.23	33.3333
852.24	70.2381
856.34	80.5714
860.4	87.5
864.35	0
868.14	4.12371
870.56	20.4819
872.9	29.2683
874.66	32.0388
876.44	25.3012
878.58	8.04598
880.7	16.9811
882.63	19.3333
884.56	13.4831
886.66	13.6752
888.78	38.1643
891.88	56.9061
894.99	54.6875
898.79	37.415
902.6	49.7537
906.17	54.321
909.72	73.494
914.31	19.5652
919.09	15.2542
921.1	10.8527
922.62	35.2941
924.04	31.9149
925.44	8.79121
927.02	48.3607
928.66	30.1887
930.25	0
931.84	26.2712
933.42	85.1351
935.03	32.6531
936.71	58.6538
938.41	69.6774
940.03	79.9087
941.58	72.4771
943.27	76.9231
944.98	80.1418
946.76	81.6229
948.6	88.3576
950.34	82.381
952.03	82.1739
953.84	74.026
955.75	75.6233
957.62	68.2657
959.5	54.7771
961.25	52.0115
962.89	32.5806
964.4	40.7407
965.78	12.6866
967.1	45.6044
968.34	43.6047
969.59	60.3239
970.86	63.4146
972.13	24.2038
973.44	67.8788
974.77	60.3846
976.08	58.9744
977.43	44.086
978.63	56.2201
979.8	52.2727
980.91	29.7189
982.04	77.0889
983.31	50.2994
984.71	55.8824
986.68	67.1687
988.86	71.6463
992.25	69.0821
995.61	46.8254
999.23	44.8276
1002.77	31.5315
1005.62	20.7547
1008.41	57
1010.25	53.6585
1012.06	35.4839
1013.81	0
1015.56	60.5263
1017.32	60
1019.06	31.3869
1020.86	49.1935
1022.64	50.3704
1024.34	70.8502
1026.05	74.7934
1027.75	24.3636
1029.47	48.3696
1030.98	57.2139
1032.49	43.1655
1034.22	55
1036.01	44.8276
1038.35	38.0952
1040.75	30.6931
1043.24	18.2927
1045.78	15.3153
1048.39	21.1765
1051.03	61.8557
1053.52	37.5
1056	53.8462
1058.13	46.6019
1060.09	79.0323
1061.88	79.5918
1063.56	93.4343
1065.2	87.1094
1066.85	88.3436
1068.53	90.1141
1070.26	86.4486
1072.14	87.4576
1074.19	75.4941
1076.32	73.8351
1078.56	92.2509
1080.8	90.8759
1083.03	81.4925
1085.3	90.9091
1087.57	79
1089.9	81.875
1092.32	80.1802
1094.61	85.6
1096.74	30.1205
1098.84	0
1100.85	35.023
1102.77	40.1235
1104.65	64.2857
1106.54	87.1951
1108.53	80.2676
1110.49	42.9752
1112.42	76.0714
1114.34	72.9839
1116.21	59.2308
1118.12	0
1120.19	17.341
1122.32	17.6136
1124.7	13.8889
1127.09	34.3137
1129.62	61.5385
1132.19	27.7778
1135.21	29
1138.18	14.1414
1141.2	58.9744
1144.22	18.3432
1147.38	56.5217
1150.51	60.5042
1152.09	38.8535
1153.63	58.8235
1155.51	76.087
1157.36	82.9787
1159.34	84.1463
1161.33	84.3137
1163.02	84.8214
1164.71	90.2597
1166.45	90.9695
1168.24	95.6731
1170.02	97.1114
1171.8	92.9936
1174.79	93.2432
1177.96	95.8153
1181.14	94.2529
1184.32	97.0123
1188.38	94.0367
1192.72	35.4978
1196.67	76.0797
1200.45	78.1008
1204.66	49.1713
1209.05	70.7724
1212.09	52.1277
1214.57	85.8696
1217	55.0388
1219.42	88.9503
1221.87	95.5357
1224.34	95.0512
1226.69	97.7175
1229.03	98.1004
1231.06	98.5175
1232.94	97.6827
1234.72	98.325
1236.62	97.3941
1238.5	95.5247
1240.38	97.2077
1242.31	91.2959
1244.3	58.6093
1246.14	46.2451
1247.87	68.6131
1250.02	53.5565
1252.82	68.5976
1255.89	60.3604
1259.52	74.7541
1262.94	84.6995
1266.1	95.0935
1270.58	89.7233
1277.88	95.7816
1284.19	96.6173
1288.08	94.1333
1291.54	88.2736
1293.8	36.6048
1296.08	66.5072
1298.48	37.037
1300.91	42.9158
1303.62	90.4505
1306.18	58.2022
1308.28	92.9701
1310.38	92.0046
1312.6	93.2075
1314.81	92.8793
1317.11	84.0909
1319.4	76.5258
1321.54	68.1818
1323.92	14.8276
1332.2	46
1339.46	41.1765
1341.94	53.6
1344.67	77.6119
1346.45	86.4979
1348.2	86.3354
1349.92	90.5185
1351.65	88.7898
1353.25	85.5093
1354.81	85.6135
1356.53	81.9074
1358.28	86.6008
1359.93	81.07
1361.61	82.9642
1363.18	88.4726
