Age	ArborealPollen
0.02	0
0.79	79.5053
1.32	73.9865
1.58	71.123
3.57	80.7322
6.55	77.1277
8.82	69.8113
10.18	59.5687
11.89	69.5652
14.15	38.4615
15.83	20.7031
16.63	16.9565
17.52	25.8278
18.6	16.2791
19.84	24.4713
21.71	12.5348
23.49	14.1509
25.17	10.4839
26.84	13.7255
28.25	25.6484
29.59	8
30.5	16.129
31.48	12
33.01	17.7215
34.56	44.8276
36.46	11.284
38.32	48.125
39.25	20.7792
40.21	18.9189
41.54	13.3903
42.86	21.3873
44.45	49.6644
46.04	20.9003
47.65	21.327
49.24	17.9487
51.3	44.9275
53.39	45.3608
55.24	46.875
57.09	46.3977
59.13	30.2932
61.2	48.1132
62.78	37.7778
64.3	21.8391
66	14.1243
67.77	26.1905
69.47	12.0567
71.19	14.5833
72.88	45.9584
74.59	59.3909
76.2	21.7012
77.79	68.4478
79.2	21.0719
80.54	57.1429
81.9	68.254
83.27	75.4667
84.77	71.7105
86.38	34.5756
88.01	17.3217
89.67	37.0698
91.56	75.7485
93.65	72
95.53	66.2338
97.21	77.3585
98.92	76.6513
100.67	75.3138
102.27	75.3005
103.69	36.3095
105.1	63.1651
106.55	71.3208
108.27	39.9485
110.37	33.2555
112.61	64.3178
115.07	74.4361
117.6	80.3738
120.31	70.2065
122.93	82.8351
125.54	92.775
128.06	63.5569
130.31	30.6273
132.49	31.25
134.42	26.1628
136.29	29
138.05	17.734
139.83	40.5405
141.45	21
143.17	22.1154
144.74	15.6863
146.44	20.9302
148.05	19.5122
149.64	14.7208
150.95	17.0854
152.27	29.4372
153.69	13.3721
155.11	12.381
155.91	14.554
156.7	13.6691
157.41	9.47867
158.12	18.9815
158.89	11.2088
159.64	13
160.52	16.8224
161.38	13.7441
162.26	17.6471
163.14	16.9082
164.12	21.2121
165.13	16.9082
166.13	16.9154
167.12	42.6471
168.06	20.3125
169.01	15.8416
169.92	20.2073
170.83	12.1951
171.72	13.6364
172.61	19.2708
173.55	17.4129
174.54	25.3807
