Age	Quartz
166.63	0.293717
167.12	0.300338
167.59	0.296557
168.06	0.302902
168.53	0.318869
169.01	0.28545
169.47	0.288633
169.92	0.287957
170.37	0.319876
170.83	0.344849
171.27	0.342282
171.72	0.326189
172.16	0.329197
172.61	0.341783
173.07	0.320157
173.55	0.33121
174.05	0.319396
174.54	0.325913
175.01	0.324175
175.46	0.304503
175.92	0.301958
176.38	0.305403
176.82	0.287104
177.22	0.264922
177.63	0.261279
178.03	0.255484
178.45	0.337227
178.87	0.27235
179.3	0.289444
179.72	0.262876
180.64	0.289081
181.12	0.32385
181.61	0.332049
182.09	0.320755
182.63	0.317107
183.17	0.351616
183.69	0.324382
184.21	0.309438
184.65	0.326881
185.1	0.331276
185.54	0.269731
185.98	0.295616
186.51	0.316417
187.05	0.277929
187.58	0.31808
188.12	0.298447
188.6	0.290701
189.11	0.306048
189.61	0.299381
190.09	0.303095
190.57	0.278707
191.03	0.300051
191.52	0.30163
192	0.287219
192.47	0.292897
192.94	0.302318
193.43	0.259897
193.9	0.26834
194.42	0.279233
194.96	0.222656
195.51	0.312663
196.05	0.299124
196.65	0.223974
197.29	0.270365
197.91	0.245024
198.55	0.252642
199.14	0.242566
199.69	0.282952
200.25	0.156985
200.81	0.154038
201.36	0.134486
201.89	0.153336
202.43	0.199132
202.97	0.271209
203.53	0.256228
204.12	0.263077
204.7	0.247533
205.29	0.294849
206.11	0.238402
207.22	0.241079
208.33	0.248441
209.44	0.240206
210.46	0.21233
211.37	0.195524
212.26	0.171187
213.15	0.171457
214.12	0.159469
215.26	0.148615
216.4	0.165226
217.53	0.191527
218.69	0.298956
219.97	0.307339
221.25	0.30312
222.56	0.313379
223.79	0.338327
224.62	0.332852
225.45	0.312714
226.27	0.302783
227.06	0.312317
228.03	0.318121
228.38	0.29851
229.05	0.321466
229.71	0.281598
230.4	0.211046
231.09	0.344746
231.79	0.331641
232.46	0.351461
233.15	0.286274
233.85	0.330935
234.54	0.27865
235.24	0.295372
235.88	0.282468
236.52	0.276211
237.16	0.227742
237.8	0.17738
238.53	0.155932
239.27	0.143627
239.99	0.138401
240.71	0.135979
241.32	0.212249
241.92	0.327514
242.51	0.360767
243.1	0.393203
243.73	0.31954
244.37	0.35846
245.03	0.317937
245.69	0.344581
246.32	0.281235
246.94	0.266011
247.55	0.297964
248.18	0.307591
248.9	0.339741
249.69	0.311039
250.44	0.310238
251.2	0.301769
251.99	0.303817
252.83	0.317095
253.66	0.320226
254.49	0.314352
255.37	0.292999
256.29	0.266637
257.22	0.305416
258.14	0.28127
259.09	0.308421
260.07	0.302461
261.06	0.299362
262.03	0.317351
262.94	0.330313
263.76	0.338439
264.58	0.308692
265.41	0.324671
266.22	0.338063
267.02	0.342025
267.82	0.374957
268.62	0.396134
269.42	0.349695
270.32	0.339153
271.1	0.398647
271.95	0.374547
272.79	0.404415
273.55	0.314758
274.32	0.384652
275.13	0.368139
275.83	0.377729
276.52	0.345276
277.21	0.31839
277.89	0.367206
278.58	0.325337
279.29	0.373979
280.01	0.368301
280.72	0.355759
281.43	0.281864
282.11	0.279712
282.78	0.272099
283.46	0.287045
284.14	0.278682
285	0.280887
285.85	0.23247
286.72	0.23528
287.58	0.190769
288.44	0.178181
289.29	0.158645
290.13	0.154239
290.97	0.183142
291.72	0.210195
292.47	0.221239
293.23	0.252153
293.99	0.306189
294.74	0.282657
295.49	0.313495
296.25	0.319442
297	0.309786
297.64	0.301045
298.27	0.28357
298.88	0.282284
299.47	0.279013
300.04	0.319445
300.62	0.301922
301.2	0.293086
301.78	0.290246
302.36	0.301406
302.97	0.266741
303.58	0.266985
304.15	0.235468
304.79	0.311143
305.45	0.302738
306.11	0.258493
306.77	0.228482
307.43	0.248213
308.09	0.233987
308.76	0.214838
309.41	0.229694
310.04	0.292409
310.62	0.225144
311.22	0.192277
311.77	0.254416
312.36	0.218545
312.96	0.198275
313.56	0.192343
314.16	0.196306
314.76	0.180753
315.37	0.194214
316	0.184919
316.61	0.174675
317.25	0.218333
317.99	0.185706
318.73	0.273496
319.49	0.286621
320.23	0.281369
321.01	0.246799
321.8	0.249335
322.58	0.21329
323.37	0.191895
324.29	0.197424
325.21	0.175541
326.12	0.126128
327.02	0.133234
327.99	0.122189
328.97	0.130838
329.94	0.136811
330.92	0.148284
331.89	0.172694
332.84	0.224081
333.81	0.273428
334.77	0.254603
335.78	0.278672
336.79	0.327403
337.81	0.330408
338.81	0.333959
339.9	0.345777
341	0.334018
342.09	0.347876
343.18	0.370095
344.24	0.327537
345.29	0.331717
346.35	0.367671
347.4	0.348995
348.4	0.300723
349.39	0.305466
350.39	0.345588
351.38	0.2917
352.4	0.287224
353.44	0.296199
354.48	0.283479
355.52	0.302302
356.58	0.288645
357.67	0.22245
358.75	0.334603
359.86	0.322881
360.94	0.338172
362	0.348362
363.06	0.348815
364.13	0.32611
365.07	0.335914
365.86	0.367237
366.66	0.302331
367.46	0.327651
368.35	0.293586
369.4	0.307665
370.44	0.325283
371.5	0.293853
372.64	0.306399
373.97	0.263434
375.3	0.269544
376.64	0.309933
378.07	0.220786
379.79	0.256723
381.5	0.214297
383.21	0.269845
384.87	0.272374
386.35	0.231931
387.84	0.223452
389.35	0.25582
390.81	0.215673
391.9	0.287097
393	0.316281
394.09	0.327759
395.13	0.278194
395.78	0.254569
396.43	0.216128
397.07	0.215876
397.71	0.144356
398.46	0.133268
399.21	0.190462
399.97	0.208808
400.73	0.306405
401.54	0.254607
402.37	0.176618
403.18	0.162794
404	0.178777
405.02	0.220113
406.11	0.295805
407.19	0.302035
408.26	0.206305
409.05	0.235755
409.79	0.19908
410.54	0.166633
411.3	0.158898
412.21	0.114802
413.19	0.085515
414.16	0.121154
415.13	0.0996198
415.97	0.105267
416.75	0.0704688
417.52	0.109397
418.3	0.116605
419.21	0.101988
420.21	0.116224
421.21	0.130512
422.21	0.139319
423.11	0.149417
423.95	0.224775
424.79	0.197206
425.64	0.253172
426.56	0.280537
427.53	0.295176
428.5	0.321146
429.5	0.337242
430.43	0.352569
431.32	0.34579
432.23	0.353768
433.14	0.359556
434.37	0.321476
436.13	0.376604
437.89	0.36777
439.65	0.339034
441.3	0.287944
442.73	0.333177
444.15	0.288054
445.6	0.305738
446.99	0.318425
448.2	0.287566
449.44	0.350878
450.67	0.317008
451.92	0.273471
453.19	0.259531
454.64	0.317786
456	0.326756
457.29	0.297037
458.16	0.30487
459.05	0.369074
459.92	0.30241
460.78	0.374635
461.62	0.28478
462.46	0.284563
463.31	0.31752
464.15	0.258596
465.15	0.24636
466.15	0.325356
467.16	0.296973
468.18	0.267991
468.98	0.288725
469.78	0.312927
470.57	0.320714
471.37	0.325175
472.05	0.296263
472.74	0.31183
473.42	0.289875
474.11	0.35568
474.84	0.204051
475.59	0.235032
476.33	0.276442
477.06	0.252754
477.83	0.298171
478.62	0.229866
479.4	0.186453
480.18	0.153702
480.84	0.204623
481.44	0.277089
482.05	0.254401
482.66	0.25921
483.37	0.174873
484.13	0.14863
484.9	0.178239
485.67	0.122459
486.44	0.113238
487.22	0.120124
487.99	0.115335
488.76	0.119635
489.57	0.140404
490.44	0.113151
491.33	0.118931
492.2	0.116036
493.23	0.107346
494.49	0.114318
495.77	0.132395
497.02	0.14644
498.29	0.169812
499.58	0.122564
500.88	0.100546
502.18	0.104647
503.68	0.070109
505.58	0.104312
507.5	0.100511
509.43	0.118803
511.18	0.278492
512.42	0.0840113
513.68	0.198643
514.94	0.203679
516.15	0.10964
517.18	0.187787
518.23	0.277171
519.25	0.266947
520.28	0.143394
521.45	0.239484
522.6	0.183185
523.78	0.148149
524.95	0.111797
526.13	0.120741
527.32	0.113898
528.52	0.116887
529.7	0.233977
530.41	0.129434
531.12	0.127105
531.85	0.182743
532.57	0.243047
533.15	0.20381
533.73	0.302028
534.3	0.247773
534.87	0.289014
535.47	0.2838
536.07	0.271798
536.69	0.288202
537.29	0.34011
538.41	0.328423
539.64	0.217332
540.85	0.209928
542.06	0.182842
543.1	0.190027
544.13	0.179365
545.1	0.190435
546.11	0.170432
547.16	0.206413
548.24	0.214521
549.33	0.210765
550.4	0.213351
551.43	0.237828
552.47	0.215721
553.52	0.229431
554.57	0.209637
555.55	0.193065
556.49	0.204468
557.44	0.300884
558.38	0.246372
559.29	0.163979
560.17	0.205975
561.07	0.203855
561.95	0.195651
562.73	0.194876
563.42	0.177509
564.1	0.177331
564.77	0.210455
565.43	0.326376
566.09	0.232233
566.75	0.299058
567.39	0.317171
568.05	0.267673
568.74	0.241958
569.44	0.276357
570.14	0.223888
570.84	0.242833
571.57	0.242251
572.31	0.215932
573.05	0.177066
573.79	0.17319
574.53	0.151689
575.25	0.153778
575.99	0.137336
576.71	0.130728
577.43	0.137731
578.17	0.150651
578.89	0.095372
579.62	0.145476
580.26	0.191469
580.92	0.253687
581.57	0.28409
582.22	0.278005
582.9	0.293947
583.58	0.287299
584.28	0.276621
584.96	0.300151
585.82	0.243193
586.69	0.235267
587.57	0.238193
588.43	0.188474
589.2	0.179047
589.98	0.152564
590.75	0.225215
591.49	0.175908
592.35	0.185325
593.22	0.177708
594.1	0.168309
594.95	0.179269
595.92	0.142244
596.95	0.179192
597.97	0.206115
598.99	0.189043
599.88	0.138248
600.73	0.141109
601.57	0.131916
602.43	0.204593
603.25	0.221527
604.03	0.191629
604.86	0.133544
605.67	0.123476
606.53	0.116754
607.43	0.115287
608.32	0.125877
609.19	0.116317
610	0.0955029
610.74	0.105242
611.48	0.0969257
612.23	0.132392
612.98	0.116415
613.72	0.124973
614.47	0.101613
615.21	0.107474
615.96	0.111292
616.74	0.0987386
617.5	0.0928043
618.28	0.087614
619.04	0.109593
619.76	0.13011
620.48	0.163937
621.21	0.164484
621.94	0.228603
622.72	0.251797
623.51	0.269838
624.31	0.253567
625.09	0.2751
625.84	0.285312
626.59	0.287896
627.36	0.276691
628.14	0.296951
629.02	0.275281
629.89	0.303571
630.75	0.267199
631.63	0.2865
632.68	0.302405
633.72	0.299574
634.75	0.307879
635.78	0.323599
636.59	0.339042
637.4	0.25462
638.21	0.255388
639.01	0.260592
640.08	0.247391
641.17	0.23978
642.25	0.2743
643.32	0.263295
644.34	0.284254
645.35	0.238601
646.36	0.277248
647.36	0.278159
648.36	0.292152
649.35	0.277986
650.34	0.273578
651.33	0.199403
652.13	0.290461
652.89	0.307632
653.64	0.336209
654.4	0.345813
655.47	0.350944
656.67	0.346162
657.84	0.292174
659.01	0.316867
660.25	0.355041
661.52	0.269231
662.77	0.323508
664.04	0.3436
665.21	0.28031
666.34	0.235383
667.45	0.294034
668.58	0.197078
669.67	0.167948
670.76	0.268047
671.86	0.243955
672.96	0.224164
674.02	0.268468
675.01	0.267711
676.02	0.195727
677.04	0.283291
678.7	0.269382
681.97	0.275088
684.69	0.200173
687.4	0.149905
689.83	0.228794
692.01	0.14349
694.19	0.0982095
696.37	0.0959649
698.13	0.112263
699.39	0.138042
700.62	0.129993
701.86	0.183077
703.15	0.138297
704.57	0.193866
705.98	0.144514
707.4	0.140061
708.83	0.135419
710.31	0.158755
711.8	0.203567
713.29	0.242158
714.84	0.305595
716.58	0.293208
718.34	0.290578
720.11	0.301582
721.68	0.306791
722.56	0.342933
723.46	0.334715
724.34	0.362951
725.26	0.264794
726.39	0.31435
727.52	0.269525
728.66	0.308992
729.77	0.311745
730.87	0.292874
731.99	0.174795
733.1	0.200957
734.23	0.147153
735.34	0.198192
736.46	0.190612
737.58	0.26016
738.69	0.22049
739.51	0.220384
740.3	0.273791
741.09	0.193038
741.87	0.199122
742.57	0.201549
743.27	0.219516
743.98	0.25276
744.67	0.279295
745.47	0.362079
746.29	0.352104
747.12	0.344271
747.93	0.265671
748.79	0.290373
749.68	0.306086
750.56	0.283955
751.44	0.319424
752.22	0.325762
752.98	0.296952
753.74	0.263262
754.51	0.294
755.32	0.319371
756.13	0.323363
756.95	0.30536
757.77	0.330767
758.61	0.188682
759.48	0.21538
760.35	0.272557
761.21	0.336645
762.11	0.307235
763.02	0.260029
763.93	0.175704
764.83	0.32249
765.71	0.32188
766.6	0.31295
767.49	0.204513
768.39	0.210467
769.29	0.157406
770.2	0.185867
771.13	0.285367
772.07	0.228409
773.14	0.200653
774.46	0.197642
775.78	0.165427
777.1	0.138206
778.48	0.136302
780.06	0.116422
781.58	0.0979526
783.21	0.11246
784.73	0.135687
786.07	0.165158
787.43	0.214343
788.8	0.252679
790.09	0.284259
790.97	0.279714
791.86	0.277047
792.74	0.257271
793.65	0.271276
794.98	0.330776
796.3	0.32143
797.63	0.259675
798.94	0.293368
800.24	0.27311
801.55	0.26357
802.85	0.330141
804.15	0.266268
805.53	0.268058
806.92	0.280116
808.33	0.265401
809.73	0.199596
810.89	0.247188
812.03	0.218319
813.16	0.221682
814.29	0.236931
815.33	0.200676
816.36	0.192235
817.39	0.152116
818.42	0.148898
819.36	0.122726
820.28	0.113011
821.2	0.125156
822.12	0.162341
822.94	0.2027
823.73	0.212139
824.5	0.154108
825.27	0.163021
826.14	0.134281
827.06	0.143746
827.97	0.163619
828.91	0.24367
830.15	0.240325
831.63	0.171369
833.11	0.138474
834.57	0.119587
836.32	0.210258
838.32	0.147923
840.32	0.116144
842.3	0.105585
844.28	0.102158
846.31	0.143571
848.23	0.14812
850.24	0.207407
852.24	0.167398
854.3	0.174564
856.34	0.113137
858.38	0.112794
860.4	0.0875551
862.38	0.124905
864.35	0.130269
866.35	0.159037
868.14	0.188289
869.35	0.253425
870.56	0.246165
871.76	0.24904
872.9	0.307484
873.78	0.258188
874.66	0.303032
875.54	0.244258
876.44	0.235878
877.51	0.293582
878.58	0.318975
879.65	0.28388
880.7	0.279369
881.67	0.260294
882.63	0.33647
883.61	0.260961
884.56	0.327637
885.61	0.227
886.66	0.252654
887.73	0.268383
888.78	0.222795
890.31	0.252453
891.88	0.274349
893.44	0.208528
894.99	0.252201
896.87	0.205308
898.79	0.246451
900.7	0.204654
902.6	0.189314
904.38	0.190959
906.17	0.174926
907.95	0.174324
909.72	0.206002
911.94	0.23775
914.31	0.268622
916.69	0.276123
919.09	0.307517
920.32	0.322709
921.1	0.331231
921.86	0.333303
922.62	0.327899
923.34	0.336013
924.04	0.288235
924.74	0.318617
925.44	0.327437
926.2	0.219294
927.02	0.266478
927.84	0.237222
928.66	0.205166
929.46	0.21029
930.25	0.211344
931.04	0.245384
931.84	0.227746
932.63	0.197486
933.42	0.219179
934.23	0.272335
935.03	0.330817
935.85	0.338594
936.71	0.199223
937.57	0.204201
938.41	0.228658
939.24	0.15054
940.03	0.209668
940.8	0.151801
941.58	0.227383
942.4	0.248283
943.27	0.17384
944.12	0.158662
944.98	0.223214
945.84	0.216921
946.76	0.216373
947.68	0.139645
948.6	0.104535
949.49	0.10947
950.34	0.112753
951.19	0.158917
952.03	0.169731
952.88	0.147085
953.84	0.110534
954.79	0.108222
955.75	0.171356
956.75	0.167116
957.62	0.170895
958.55	0.220628
959.5	0.232859
960.44	0.264305
961.25	0.225004
962.07	0.278134
962.89	0.250172
963.7	0.28525
964.4	0.317904
965.1	0.355895
965.78	0.359589
966.46	0.310848
967.1	0.300411
967.72	0.286306
968.34	0.282191
968.96	0.286687
969.59	0.265182
970.23	0.272755
970.86	0.210034
971.49	0.265654
972.13	0.280423
972.78	0.348123
973.44	0.30428
974.09	0.241848
974.77	0.240658
975.45	0.286851
976.08	0.242401
976.8	0.285061
977.43	0.243648
978.02	0.321868
978.63	0.266739
979.23	0.270441
979.8	0.238849
980.35	0.233374
980.91	0.290468
981.46	0.204956
982.04	0.309976
982.67	0.242733
983.95	0.211573
984.71	0.217302
985.69	0.269651
986.68	0.181974
987.65	0.212098
988.86	0.205193
990.56	0.195156
992.25	0.141522
993.92	0.172196
995.61	0.180453
997.41	0.16374
999.23	0.165804
1001.05	0.240481
1004.18	0.291408
1005.62	0.330089
1007.07	0.297299
1008.41	0.284647
1009.33	0.290201
1010.25	0.272552
1011.16	0.278948
1012.06	0.314646
1012.94	0.277029
1013.81	0.306025
1014.69	0.265102
1015.56	0.246076
1016.44	0.179029
1017.32	0.206222
1018.19	0.261759
1019.06	0.3035
1019.96	0.306445
1020.86	0.238104
1021.74	0.191014
1022.64	0.156488
1023.48	0.144604
1024.34	0.142385
1025.2	0.139503
1026.05	0.150335
1026.9	0.148198
1027.75	0.194243
1028.61	0.172438
1029.47	0.168407
1030.24	0.174741
1030.98	0.212139
1031.72	0.237414
1032.49	0.234864
1033.34	0.244135
1034.22	0.233335
1035.11	0.23655
1036.01	0.239985
1037.12	0.231994
1038.35	0.254619
1039.55	0.27667
1040.75	0.309369
1041.99	0.240472
1043.24	0.402829
1044.5	0.371122
1045.78	0.371799
1047.07	0.383923
1048.39	0.371614
1049.71	0.310949
1051.03	0.228104
1052.3	0.354165
1053.52	0.301271
1054.75	0.313283
1056	0.354207
1057.15	0.295364
1058.13	0.294667
1059.12	0.342572
1060.09	0.30571
1061.03	0.23418
1061.88	0.258795
1062.72	0.211159
1063.56	0.177389
1064.38	0.169942
1065.2	0.17691
1066.02	0.156204
1066.85	0.17198
1067.68	0.149707
1068.53	0.0903309
1069.4	0.139349
1070.26	0.111585
1071.13	0.0713488
1072.14	0.0783999
1073.16	0.0955802
1075.21	0.10889
1076.32	0.102637
1077.44	0.166295
1078.56	0.174126
1079.67	0.112739
1080.8	0.126406
1081.92	0.12257
1083.03	0.140404
1084.15	0.158032
1085.3	0.163207
1086.44	0.152025
1087.57	0.216913
1088.69	0.184584
1089.9	0.212823
1091.1	0.237535
1092.32	0.265575
1093.53	0.281653
1094.61	0.321702
1095.67	0.371699
1096.74	0.376434
1097.82	0.373987
1098.84	0.310381
1099.85	0.390473
1100.85	0.284692
1101.82	0.348278
1102.77	0.322579
1103.71	0.340037
1104.65	0.284373
1105.59	0.20271
1106.54	0.154671
1107.54	0.156562
1108.53	0.144252
1109.58	0.150628
1110.49	0.202389
1111.47	0.158957
1112.42	0.153784
1113.39	0.185533
1114.34	0.211095
1115.27	0.226777
1116.21	0.263325
1117.14	0.38567
1118.12	0.348507
1119.15	0.333288
1120.19	0.300063
1121.23	0.351841
1122.32	0.271875
1123.51	0.276185
1124.7	0.308608
1125.88	0.295358
1127.09	0.253661
1128.35	0.280958
1129.62	0.260633
1130.87	0.261862
1132.19	0.224667
1133.7	0.258064
1135.21	0.281649
1136.7	0.258594
1138.18	0.297621
1139.69	0.208689
1141.2	0.264898
1142.71	0.301263
1144.22	0.207776
1145.8	0.224783
1147.38	0.176128
1148.97	0.181681
1150.51	0.312775
1151.3	0.286177
1152.09	0.321792
1152.86	0.204975
1153.63	0.16165
1154.57	0.153609
1155.51	0.171408
1156.44	0.12651
1157.36	0.153228
1158.35	0.175463
1159.34	0.169333
1160.34	0.172088
1161.33	0.129827
1162.18	0.119447
1163.02	0.118506
1163.87	0.134394
1164.71	0.119741
1165.58	0.096834
1166.45	0.112595
1167.35	0.138692
1168.24	0.156992
1169.12	0.132179
1170.02	0.0963025
1170.91	0.14292
1171.8	0.120343
1173.17	0.108719
1174.79	0.127177
1176.38	0.152098
1177.96	0.138995
1179.55	0.139561
1181.14	0.14031
1182.74	0.147487
1184.32	0.162626
1186.22	0.171446
1188.38	0.177738
1190.54	0.217449
1192.72	0.257536
1194.75	0.228439
1196.67	0.209941
1198.56	0.26838
1200.45	0.216382
1202.47	0.193236
1204.66	0.240201
1206.86	0.239444
1209.05	0.277403
1210.86	0.330497
1212.09	0.282042
1213.34	0.298862
1214.57	0.162144
1215.78	0.343015
1217	0.354082
1218.22	0.309481
1219.42	0.270632
1220.64	0.170693
1221.87	0.312563
1223.1	0.213293
1224.34	0.103132
1225.56	0.0913436
1226.69	0.0804924
1227.86	0.117058
1229.03	0.0760622
1230.14	0.0971412
1231.06	0.0862068
1231.97	0.0665691
1232.94	0.074413
1233.77	0.0764428
1234.72	0.086673
1235.66	0.0912041
1236.62	0.0931294
1237.57	0.0798314
1238.5	0.0957596
1239.44	0.0938015
1240.38	0.0881042
1241.33	0.109882
1242.31	0.141033
1243.31	0.156246
1244.3	0.221989
1245.29	0.244113
1246.14	0.245375
1247.01	0.221942
1247.87	0.261051
1248.72	0.264765
1250.02	0.312646
1251.42	0.230688
1252.82	0.201058
1254.19	0.173608
1255.89	0.227297
1257.7	0.245064
1259.52	0.294041
1261.32	0.283103
1262.94	0.242777
1264.51	0.223092
1266.1	0.217259
1267.69	0.189034
1270.58	0.148071
1274.22	0.147109
1277.88	0.149948
1281.54	0.168386
1284.19	0.181473
1286.12	0.123324
1288.08	0.133756
1290.01	0.223782
1291.54	0.216434
1292.67	0.205327
1293.8	0.159888
1294.94	0.213222
1296.08	0.2369
1297.28	0.213507
1298.48	0.226074
1299.67	0.227722
1300.91	0.197226
1302.26	0.165524
1303.62	0.116215
1304.96	0.146647
1306.18	0.129867
1307.23	0.111171
1308.28	0.0498739
1309.33	0.0852066
1310.38	0.0659137
1311.49	0.0771313
1312.6	0.0867914
1313.7	0.071747
1314.81	0.0751874
1315.95	0.0686001
1317.11	0.0703289
1318.26	0.0967472
1319.4	0.0841344
1320.47	0.0650656
1321.54	0.104337
1322.62	0.106089
1323.92	0.245222
1327.75	0.0713142
1332.2	0.0835931
1336.05	0.0804264
1339.46	0.0802664
1340.59	0.111012
1341.94	0.105844
1343.34	0.0602226
1344.67	0.05749
1345.58	0.0617256
1346.45	0.0475698
1347.33	0.046327
1348.2	0.0337269
1349.07	0.0315199
1349.92	0.0256663
1350.79	0.0287304
1351.65	0.0110571
1352.45	0.0165381
1353.25	0.016676
1354.03	0.0336629
1354.81	0.0228612
1355.66	0.018699
1356.53	0.0202374
1357.4	0.0167714
1358.28	0.0135456
1359.1	0.0156538
1359.93	0.0169311
1360.77	0.0122843
1361.61	0.0142572
1362.4	0.0166909
1363.18	0.0228847
1363.96	0.0291455
