Age	TOC
1.5789	1.48595115
1.8388	3.015313
2.0987	2.41760826
2.8221	2.8610435
3.5675	3.01038266
4.31285	2.2731763
5.05815	2.71659831
5.80375	3.73642012
6.54905	2.95308568
7.2946	3.28989795
8.0397	2.37515862
8.4637	4.83501848
8.82445	4.75423289
9.18375	3.55604894
9.54475	2.95532306
9.8618	2.03860146
10.1778	2.83552598
10.53835	1.95973596
10.9004	1.94155375
11.34705	1.98917144
11.8927	2.89198498
12.4375	2.71961747
13.0517	2.54827173
13.5983	2.19764961
14.1485	2.00882146
14.69385	2.00898138
15.2415	1.81864464
15.62925	1.64654837
15.8294	1.59092182
16.0288	1.57567428
16.2302	1.52236292
16.43065	1.40833457
16.63055	1.0068582
16.8302	0.99868618
17.0312	0.93836251
17.2536	0.8192174
17.5244	0.74515245
17.7941	0.75869252
18.0638	0.81186219
18.33265	0.76638
18.6	0.83641367
18.8653	0.85336607
19.1293	0.87560962
19.3743	0.76493142
19.84275	0.87826547
20.3121	0.79785813
20.7768	0.83324111
21.2466	0.82879302
21.7145	0.92694217
22.12295	0.83095567
22.5894	0.7108934
23.0561	0.73813146
23.48575	0.69201929
23.91145	0.59447448
24.3304	0.66333592
24.7508	0.66800812
25.1749	0.75141065
25.60315	0.75939467
26.03195	0.76680939
26.4608	0.91030306
26.8357	0.96222347
27.18785	0.86345889
27.54175	0.85891199
27.8938	0.95722218
28.2461	0.81364248
28.6006	0.74587806
28.9553	0.64904264
29.31135	0.834774
29.59315	0.81967627
29.82315	0.83424986
30.05065	0.84329703
30.2758	0.91159132
30.5021	0.98661498
30.72745	0.85610532
30.9549	1.33928309
31.1818	1.22040254
31.4786	0.96123978
31.8607	1.0050835
32.2485	0.90929842
32.628	1.36159767
33.00755	1.06558537
33.3889	1.13644254
33.7682	1.21034762
34.1458	1.74779425
34.55765	1.85679813
35.033	1.65307474
35.50805	1.270975
35.984	1.33273021
36.4615	1.14885128
36.9426	1.47478948
37.41985	1.66876784
37.89675	1.60441628
38.32235	1.55915727
38.5559	1.50872578
38.78785	1.48512231
39.0205	1.42776481
39.2524	1.04265262
39.48615	0.98223543
39.71885	1.13034038
39.9504	0.72101825
40.21455	0.97728934
40.5473	0.94392888
40.87665	1.03429682
41.206	1.14299678
41.5375	0.80907712
41.8661	1.06434353
42.19505	1.18880213
42.5277	0.95274912
42.8593	1.02897334
43.25815	1.14855789
43.6548	1.28036431
44.04815	1.41947237
