time	Medstack
0	-0.295945619127538
0.006835	-0.520106801991127
0.01367	-0.774239450653509
0.020505	-1.03189670532371
0.02734	-1.0097463908115
0.034175	-1.00437327867379
0.04101	-1.03103013705736
0.047845	-1.18076626315991
0.05468	-1.18551002766364
0.061515	-1.20891774115621
0.06835	-1.53231233303451
0.075185	-1.67961014214526
0.08202	-1.74913587988953
0.088855	-1.7668561314993
0.09569	-1.48880373573895
0.102525	-1.05467571932611
0.10936	-0.455731214915883
0.116195	0.0476503188434216
0.12303	0.386798694029222
0.129865	0.532104757229335
0.1367	0.57492632209233
0.143535	0.671587896491549
0.15037	0.836217719073288
0.157205	1.27656597157607
0.16404	1.62736149092528
0.170875	1.90701415373847
0.17771	2.12408723595815
0.184545	2.33350120284233
0.19138	2.53869834613568
0.198215	2.74248123964803
0.20505	2.75249506142459
0.211885	2.69817218475415
0.21872	2.65475756831022
0.225555	2.66678970989338
0.23239	2.67951536534716
0.239225	2.66976922696178
0.24606	2.62860107694358
0.252895	2.59467269321949
0.25973	2.57606642902923
0.266565	2.51405851127112
0.2734	2.45423224555831
0.280235	2.39883993161077
0.28707	2.35542531516684
0.293905	2.43147397215766
0.30074	2.57547921074253
0.307575	2.54092472010348
0.31441	2.56696649001675
0.321245	2.56726139544771
0.32808	2.30234363388165
0.334915	2.00302110289533
0.34175	1.78893855618873
0.348585	1.86159158778879
0.35542	1.96094295897588
0.362255	2.02984842309943
0.36909	2.02276032245552
0.375925	2.23226243689709
0.38276	2.35767955931822
0.389595	2.30983487997184
0.39643	2.14863244182728
0.403265	2.05477992267593
0.4101	2.03942021080145
0.416935	1.82500516632323
0.42377	1.61889802912863
0.430605	1.42864254495598
0.43744	1.33206717368273
0.444275	1.17120889989826
0.45111	1.03300843722477
0.457945	1.21021095332247
0.46478	1.15009691176055
0.471615	1.01956852729865
0.47845	0.991216124723018
0.485285	0.875857546000937
0.49212	0.782524190036838
0.498955	0.794928366163677
0.50579	1.22689028598252
0.512625	1.37524456949429
0.51946	0.947300493118353
0.526295	0.915122745809696
0.53313	0.925415269422101
0.539965	0.945793558773336
0.5468	1.08076367272616
0.553635	1.1329211009464
0.56047	1.10897607624006
0.567305	1.04872722076684
0.57414	1.20582690863013
0.580975	1.46194676619652
0.58781	1.46283277877701
0.594645	1.46070816338649
0.60148	1.4220554594728
0.608315	1.25637110692145
0.61515	1.36306270669233
0.621985	1.53777181357486
0.62882	1.66092756226276
0.635655	1.74083332303302
